algorithm,device,size_bytes,rounds,enc_ms_mean,enc_ms_median,enc_ms_std,enc_ms_min,enc_ms_max,dec_ms_mean,dec_ms_median,dec_ms_std,dec_ms_min,dec_ms_max,total_time_ms_mean,total_time_ms_median,total_time_ms_std,total_time_ms_min,total_time_ms_max,energy_J_mean,energy_J_median,energy_J_std,energy_J_min,energy_J_max,enc_mem_bytes_mean,enc_mem_bytes_median,enc_mem_bytes_std,enc_mem_bytes_min,enc_mem_bytes_max,dec_mem_bytes_mean,dec_mem_bytes_median,dec_mem_bytes_std,dec_mem_bytes_min,dec_mem_bytes_max,total_mem_bytes_mean,total_mem_bytes_median,total_mem_bytes_std,total_mem_bytes_min,total_mem_bytes_max,throughput_kb_per_ms_mean,throughput_kb_per_ms_median,throughput_kb_per_ms_std,throughput_kb_per_ms_min,throughput_kb_per_ms_max,size_kb,size_mb
AES,D1,1024,5,1.4014562000000002,1.409396,0.06740711596856817,1.292332,1.47385,1.5285544,1.556608,0.06374956871069795,1.4168,1.571836,2.9300106,2.971128,0.12475861534098552,2.7091320000000003,3.0105760000000004,0.00014954346,0.00014954346,0.0,0.00014954346,0.00014954346,11697.6,11632.0,89.82649943084708,11632,11796,6782.6,6717.0,89.82649943084728,6717,6881,18480.2,18513.0,73.34302966199306,18349,18513,0.3418199783761767,0.3365725071420686,0.015392684873421667,0.3321623503276449,0.3691219180165455,1.0,0.0009765625
AES,D1,2048,5,1.4899988,1.463476,0.07111555982835259,1.420036,1.599723,1.6473348,1.669294,0.05634417546384007,1.561897,1.705776,3.1373336000000003,3.125812,0.09733592437430282,3.025373,3.269017,0.000145389204,0.000145389204,0.0,0.000145389204,0.000145389204,21822.8,21790.0,73.3430296619933,21790,21954,11927.2,11960.0,73.34302966199293,11796,11960,33750.0,33750.0,115.96551211459379,33586,33914,0.6379723073968367,0.6398337455995434,0.01967845516247089,0.6118047107127311,0.6610755103585574,2.0,0.001953125
AES,D1,4096,5,1.5367047999999999,1.491855,0.12585562032821568,1.435876,1.752587,1.7390998,1.717902,0.0987631551348983,1.656366,1.902268,3.2758046,3.160446,0.22053916431396048,3.125479,3.654855,0.000155942244,0.000155942244,0.0,0.000155942244,0.000155942244,42008.2,41943.0,89.27877687334299,41943,42106,22446.0,22446.0,0.0,22446,22446,64454.2,64389.0,89.27877687334299,64389,64552,1.225211418425366,1.2656441527556554,0.07686055786102723,1.0944346629346444,1.279803831668682,4.0,0.00390625
AES,D1,8192,5,1.8348568,1.77067,0.14187421109278467,1.716538,2.07148,2.3948425999999996,2.351495,0.12199127620162017,2.286848,2.586621,4.229699399999999,4.197494,0.17733260228818618,4.057518,4.444113,0.00023488693200000003,0.00023488693200000003,0.0,0.00023488693200000003,0.00023488693200000003,81509.6,85032.0,8152.496353878363,66928,85360,43909.0,43909.0,0.0,43909,43909,125418.6,128941.0,8152.496353878363,110837,129269,1.8940320436054905,1.9058990912196658,0.07886637935596791,1.8001342450113218,1.9716486778370423,8.0,0.0078125
AES,D1,16384,5,2.2509062,2.200833,0.11263410346427047,2.157954,2.4248,3.042483,3.084037,0.15417443626133362,2.870983,3.24867,5.2933892,5.332932,0.15059137750781068,5.039811,5.406624000000001,0.00037176156,0.00037176156,0.0,0.00037176156,0.00037176156,119205.2,118549.0,1575.949935753036,117567,121335,41690.4,42282.0,1367.9511321681046,39415,42815,160895.6,161037.0,2185.539018182929,157964,163823,3.02465374813604,3.000225766988966,0.0885769739030727,2.9593328480027457,3.1747222266866753,16.0,0.015625
AES,D1,32768,5,3.3389650000000004,3.326332,0.031219222251683595,3.312102,3.379551,4.4368438,4.406092,0.21265745226231764,4.255073,4.77492,7.7758088,7.7706800000000005,0.23570761151944197,7.567175000000001,8.154471000000001,0.00068730696,0.00068730696,0.0,0.00068730696,0.00068730696,97672.6,94027.0,56169.14278587488,39058,157133,40734.6,39414.0,5917.431731756607,36103,51007,138407.2,145034.0,54951.465373545776,78472,194704,4.1182900395722335,4.118043723329232,0.12219559627099318,3.9242275801826993,4.228790797094027,32.0,0.03125
AES,D1,65536,5,5.3888924000000005,5.380833,0.04282690697797373,5.338556,5.44587,7.486176,7.400568,0.26202249666965605,7.307221,7.944977,12.8750684,12.781959,0.25987847165992833,12.669524,13.32581,0.00128735856,0.00128735856,0.0,0.00128735856,0.00128735856,90737.8,77601.0,42309.82881317295,51388,136748,49433.4,49081.0,8096.488053471085,38472,60222,140171.2,130861.0,48382.75820682405,91818,196970,4.972431724077461,5.007057212435121,0.0981214045485932,4.802709929077482,5.051492068683875,64.0,0.0625
AES,D1,131072,5,9.7849054,9.743735,0.09653867560879416,9.719578,9.954633,13.6303814,13.596017,0.14245325418992738,13.50499,13.875033,23.415286799999997,23.365271999999997,0.14150288867616817,23.242316,23.594611,0.00246070332,0.00246070332,0.0,0.00246070332,0.00246070332,117886.6,113604.0,19868.836372570993,100743,147876,72455.4,69110.0,27726.829476159008,50188,119627,190342.0,195576.0,23963.872360284346,154985,220371,5.4666738892879305,5.478215704058571,0.033011630206926844,5.424967591116463,5.507196442901818,128.0,0.125
AES,D1,262144,5,18.2335302,18.189086,0.3317506591390587,17.833276,18.624916,26.298841399999997,26.43649,0.2771430231708891,25.984825,26.544293,44.5323716,44.349614,0.492744682568264,44.024001,45.061406,0.0048704472,0.0048704472,0.0,0.0048704472,0.0048704472,169483.8,191621.0,78518.26288959786,63663,252297,60791.6,61259.0,24184.66504419691,34634,96197,230275.4,252880.0,73777.54291313855,149263,321543,5.749188883841593,5.772316304714625,0.0634608854872264,5.681136536219043,5.815009862461161,256.0,0.25
AES-GCM,D1,1024,5,1.4560072,1.475999,0.10785507728985222,1.310423,1.58187,1.4506558,1.513603,0.10081266160904591,1.309036,1.527433,2.906663,3.0008749999999997,0.20552366055639434,2.619459,3.109303,0.00016303068,0.00016303068,0.0,0.00016303068,0.00016303068,16416.6,16384.0,72.89581606649355,16384,16547,8715.8,8683.0,73.3430296619933,8683,8847,25132.4,25067.0,146.23884572848584,25067,25394,0.3454648912726454,0.3332361394593244,0.025260600707068988,0.32161548745812163,0.3817582180137196,1.0,0.0009765625
AES-GCM,D1,2048,5,1.486394,1.474363,0.04841937251245619,1.4292,1.561506,1.55284,1.554442,0.024625002010152178,1.513938,1.58168,3.039234,3.0255900000000002,0.04318964223630473,3.009691,3.113988,0.000103157784,0.000103157784,0.0,0.000103157784,0.000103157784,26246.8,26214.0,73.3430296619933,26214,26378,14024.4,14090.0,89.82649943084728,13926,14090,40271.2,40304.0,73.34302966199381,40140,40304,0.6581651945336,0.6610280969992629,0.009204898728833502,0.6422632328705185,0.6645200454132999,2.0,0.001953125
AES-GCM,D1,4096,5,1.4802728,1.432697,0.07660434771408207,1.425864,1.599252,1.6726921999999997,1.669624,0.04618853038580017,1.619419,1.734422,3.152965,3.102321,0.1206631530314869,3.046761,3.333674,0.000109099728,0.000109099728,0.0,0.000109099728,0.000109099728,46398.8,46366.0,73.3430296619928,46366,46530,24412.0,24412.0,0.0,24412,24412,70810.8,70778.0,73.34302966199432,70778,70942,1.2701030181692192,1.289357226412096,0.047565473015407304,1.1998773725325274,1.3128696343428317,4.0,0.00390625
