algorithm,score_mean,score_median,score_std,total_time_ms_mean,energy_J_mean
AES-GCM,0.020696625030841277,0.007962152417014071,0.027246472809843065,6.314973544444444,0.000457949446
ElGamal,0.024198020349994694,0.01755949737565694,0.013822716808044465,38.49875973333334,0.000192983822
RSA-Hybrid,0.0249199676961965,0.01831831882577198,0.013693964945621587,37.91852841111111,0.000212855796
ASCON,0.027474280714603685,0.009364627528600664,0.035762140927545996,12.840809722222222,0.0005208893899999999
Xoodyak,0.034080089308920286,0.010229162359675917,0.048096459297785624,16.20280211111111,0.0006131909580000001
ChaCha20,0.038601310483830614,0.010345484807942618,0.05696609360766314,9.617126455555557,0.0007681180420000001
GIFT-COFB,0.06129931765007796,0.022916432589884017,0.07801810710128236,52.11008061111111,0.0007658160360000001
AES,0.0774373782711612,0.02749074139179885,0.1047986480564099,12.19582402222222,0.001488214356
Grain-128AEAD,0.12342989623453346,0.03564754480979199,0.17199979323897222,90.61674827777777,0.0015628612699999998
Elephant,0.22925452724193882,0.07309634796602893,0.31093534416009583,225.92204114444445,0.002200614968
