size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,1310423,1309036,16384,8683,4.528630e-05,INTEGRATION
1024,2,1388437,1378331,16384,8683,4.528630e-05,INTEGRATION
1024,3,1475999,1524876,16384,8683,4.528630e-05,INTEGRATION
1024,4,1523307,1513603,16384,8683,4.528630e-05,INTEGRATION
1024,5,1581870,1527433,16547,8847,4.528630e-05,INTEGRATION
2048,1,1429200,1581680,26214,14090,2.865494e-05,INTEGRATION
2048,2,1561506,1552482,26378,13926,2.865494e-05,INTEGRATION
2048,3,1495753,1513938,26214,13926,2.865494e-05,INTEGRATION
2048,4,1474363,1561658,26214,14090,2.865494e-05,INTEGRATION
2048,5,1471148,1554442,26214,14090,2.865494e-05,INTEGRATION
4096,1,1599252,1734422,46530,24412,3.030548e-05,INTEGRATION
4096,2,1516209,1700502,46366,24412,3.030548e-05,INTEGRATION
4096,3,1432697,1669624,46366,24412,3.030548e-05,INTEGRATION
4096,4,1427342,1619419,46366,24412,3.030548e-05,INTEGRATION
4096,5,1425864,1639494,46366,24412,3.030548e-05,INTEGRATION
8192,1,1546803,2662341,90439,45383,4.716374e-05,INTEGRATION
8192,2,1459585,2631196,90275,45383,4.716374e-05,INTEGRATION
8192,3,1490356,2774950,90275,45383,4.716374e-05,INTEGRATION
8192,4,1504763,2559520,90439,45383,4.716374e-05,INTEGRATION
8192,5,1417409,2550052,90275,45383,4.716374e-05,INTEGRATION
16384,1,1871888,3120522,118751,44322,6.616051e-05,INTEGRATION
16384,2,1694465,2531036,125419,44892,6.616051e-05,INTEGRATION
16384,3,1863262,2772497,186613,106332,6.616051e-05,INTEGRATION
16384,4,1754746,2786889,186449,106332,6.616051e-05,INTEGRATION
16384,5,1938640,2848132,186613,106332,6.616051e-05,INTEGRATION
32768,1,2612126,3104363,178997,62346,9.184699e-05,INTEGRATION
32768,2,1819939,3463766,277261,61035,9.184699e-05,INTEGRATION
32768,3,1827064,3645744,272473,41740,9.184699e-05,INTEGRATION
32768,4,1910812,3507230,273375,49280,9.184699e-05,INTEGRATION
32768,5,1858849,3182508,277427,62345,9.184699e-05,INTEGRATION
65536,1,2321735,4051040,117232,20894,1.471366e-04,INTEGRATION
65536,2,2283652,4078138,156316,21062,1.471366e-04,INTEGRATION
65536,3,2240602,4246009,251542,57060,1.471366e-04,INTEGRATION
65536,4,2243440,4170020,251706,13237,1.471366e-04,INTEGRATION
65536,5,2266781,4064473,264813,70989,1.471366e-04,INTEGRATION
131072,1,3023226,6901850,110026,67757,2.293214e-04,INTEGRATION
131072,2,2915902,7431766,545600,56939,2.293214e-04,INTEGRATION
131072,3,3050122,6890313,114902,59646,2.293214e-04,INTEGRATION
131072,4,3173228,6990954,281408,56939,2.293214e-04,INTEGRATION
131072,5,2984743,6939371,226272,43054,2.293214e-04,INTEGRATION
262144,1,4507630,12816374,846446,138777,3.889710e-04,INTEGRATION
262144,2,5197513,12632178,295042,40102,3.889710e-04,INTEGRATION
262144,3,4380293,12712190,212013,40102,3.889710e-04,INTEGRATION
262144,4,4514634,12572354,141360,40102,3.889710e-04,INTEGRATION
262144,5,4390901,12685956,291683,40101,3.889710e-04,INTEGRATION
