size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,2383113,2469336,11141,6225,5.742348e-05,INTEGRATION
1024,2,2493533,2792026,11141,6225,5.742348e-05,INTEGRATION
1024,3,2860904,3081503,11141,6225,5.742348e-05,INTEGRATION
1024,4,2991723,3077384,11468,6225,5.742348e-05,INTEGRATION
1024,5,2958420,2971076,11468,6225,5.742348e-05,INTEGRATION
2048,1,2860904,3119552,21299,11796,3.619835e-05,INTEGRATION
2048,2,2919292,3323218,21299,11796,3.619835e-05,INTEGRATION
2048,3,2892941,3128530,21299,11468,3.619835e-05,INTEGRATION
2048,4,2967427,3014640,21626,11468,3.619835e-05,INTEGRATION
2048,5,2938078,3113187,21299,11468,3.619835e-05,INTEGRATION
4096,1,3175587,3317956,41943,21954,3.877814e-05,INTEGRATION
4096,2,2892743,3238916,41615,21626,3.877814e-05,INTEGRATION
4096,3,2895803,3441784,41615,21954,3.877814e-05,INTEGRATION
4096,4,2993001,3391832,41615,21954,3.877814e-05,INTEGRATION
4096,5,2881906,3103089,41615,21626,3.877814e-05,INTEGRATION
8192,1,3357967,3556529,84541,42926,4.254726e-05,INTEGRATION
8192,2,2885733,3469150,84213,42926,4.254726e-05,INTEGRATION
8192,3,2861446,3434504,84213,42926,4.254726e-05,INTEGRATION
8192,4,2886110,3500389,84213,42926,4.254726e-05,INTEGRATION
8192,5,3013987,3592383,84541,42926,4.254726e-05,INTEGRATION
16384,1,3720555,5286900,181862,103710,6.257845e-05,INTEGRATION
16384,2,3105392,5108301,181534,103710,6.257845e-05,INTEGRATION
16384,3,3191852,5680566,181534,103710,6.257845e-05,INTEGRATION
16384,4,3259429,5346141,181534,103710,6.257845e-05,INTEGRATION
16384,5,3085366,5187330,181534,103710,6.257845e-05,INTEGRATION
32768,1,5203716,6219790,210137,61941,9.512738e-05,INTEGRATION
32768,2,3845101,6614953,209478,58996,9.512738e-05,INTEGRATION
32768,3,4033290,6151543,209480,58993,9.512738e-05,INTEGRATION
32768,4,3917306,5786675,216197,63334,9.512738e-05,INTEGRATION
32768,5,3905200,6386344,209478,59020,9.512738e-05,INTEGRATION
65536,1,6118143,7498460,301802,85288,1.531549e-04,INTEGRATION
65536,2,5338627,7460320,308522,56698,1.531549e-04,INTEGRATION
65536,3,5379470,7447700,255763,79718,1.531549e-04,INTEGRATION
65536,4,5349558,7482823,306310,81111,1.531549e-04,INTEGRATION
65536,5,5398516,7370313,232747,81111,1.531549e-04,INTEGRATION
131072,1,8425780,13452318,497684,57108,2.956847e-04,INTEGRATION
131072,2,8448627,13093218,549784,219320,2.956847e-04,INTEGRATION
131072,3,9594801,12543716,244622,255120,2.956847e-04,INTEGRATION
131072,4,8637390,13177538,511118,219323,2.956847e-04,INTEGRATION
131072,5,10293626,12625804,588287,233164,2.956847e-04,INTEGRATION
262144,1,14672170,22775647,382903,304834,5.470037e-04,INTEGRATION
262144,2,14709809,23967435,631459,175743,5.470037e-04,INTEGRATION
262144,3,14578210,22716307,336794,90543,5.470037e-04,INTEGRATION
262144,4,14437095,22691600,529214,59894,5.470037e-04,INTEGRATION
262144,5,14579938,22710724,426988,218982,5.470037e-04,INTEGRATION
