size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,6544276,6399338,11468,6553,4.203742e-05,INTEGRATION
1024,2,6515373,7055430,11468,6553,4.203742e-05,INTEGRATION
1024,3,7407242,7636126,12288,7372,4.203742e-05,INTEGRATION
1024,4,7397119,7772815,11468,7372,4.203742e-05,INTEGRATION
1024,5,7714107,7449846,11468,7372,4.203742e-05,INTEGRATION
2048,1,10010492,7860726,22118,12288,3.329194e-05,INTEGRATION
2048,2,8029534,7995507,22118,12288,3.329194e-05,INTEGRATION
2048,3,8012403,8355138,21299,12288,3.329194e-05,INTEGRATION
2048,4,7795307,7934150,22118,11468,3.329194e-05,INTEGRATION
2048,5,8317538,8036126,22118,11468,3.329194e-05,INTEGRATION
4096,1,9207757,8923707,42598,22937,4.150606e-05,INTEGRATION
4096,2,8404692,8746642,42598,22937,4.150606e-05,INTEGRATION
4096,3,8406584,8512338,42598,22937,4.150606e-05,INTEGRATION
4096,4,8487430,8811280,42598,22937,4.150606e-05,INTEGRATION
4096,5,8447511,8718169,42598,22118,4.150606e-05,INTEGRATION
8192,1,11123065,11439353,85196,43417,6.685282e-05,INTEGRATION
8192,2,10994692,11298096,85196,43417,6.685282e-05,INTEGRATION
8192,3,11020261,11292796,85196,43417,6.685282e-05,INTEGRATION
8192,4,11160157,11324073,85196,43417,6.685282e-05,INTEGRATION
8192,5,11022400,11353657,85196,43417,6.685282e-05,INTEGRATION
16384,1,16282784,16814553,182681,104857,1.147378e-04,INTEGRATION
16384,2,16313103,16883630,182681,104857,1.147378e-04,INTEGRATION
16384,3,16264138,16963380,182681,104857,1.147378e-04,INTEGRATION
16384,4,16377923,16833492,182681,104857,1.147378e-04,INTEGRATION
16384,5,16395542,17058203,182681,104857,1.147378e-04,INTEGRATION
32768,1,27903138,27871557,40755,188416,2.899255e-04,INTEGRATION
32768,2,27487692,27855480,35865,188416,2.899255e-04,INTEGRATION
32768,3,28041000,27836203,40755,188416,2.899255e-04,INTEGRATION
32768,4,27482461,28024357,35865,188416,2.899255e-04,INTEGRATION
32768,5,27657953,27828692,35865,188416,2.899255e-04,INTEGRATION
65536,1,48653984,52680942,334668,48768,4.651575e-04,INTEGRATION
65536,2,48575876,51928303,336306,49588,4.651575e-04,INTEGRATION
65536,3,48778830,53346723,336314,49588,4.651575e-04,INTEGRATION
65536,4,48273188,53814600,334668,49588,4.651575e-04,INTEGRATION
65536,5,48329584,52411519,334669,49588,4.651575e-04,INTEGRATION
131072,1,91410569,100887307,355181,96282,8.250890e-04,INTEGRATION
131072,2,91358734,99107088,355174,96282,8.250890e-04,INTEGRATION
131072,3,91171257,99529000,355176,96282,8.250890e-04,INTEGRATION
131072,4,91313400,98686630,355188,96282,8.250890e-04,INTEGRATION
131072,5,91023092,99709696,355170,96282,8.250890e-04,INTEGRATION
262144,1,176183661,188754384,411703,189671,1.624077e-03,INTEGRATION
262144,2,175816584,189274957,411703,189670,1.624077e-03,INTEGRATION
262144,3,176178103,188868880,429316,189670,1.624077e-03,INTEGRATION
262144,4,176597630,186231173,429316,189670,1.624077e-03,INTEGRATION
262144,5,178849388,182793507,319136,189670,1.624077e-03,INTEGRATION
