size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,1352886,1312985,10801,11141,8.829546e-05,INTEGRATION
1024,2,1353448,1304905,0,14417,8.829546e-05,INTEGRATION
1024,3,1571720,1255091,15892,27033,8.829546e-05,INTEGRATION
1024,4,2102532,1399857,11632,13680,8.829546e-05,INTEGRATION
1024,5,1407221,1793466,17489,16506,8.829546e-05,INTEGRATION
2048,1,1322289,1797043,46981,17858,8.714478e-05,INTEGRATION
2048,2,1366827,1547350,31498,0,8.714478e-05,INTEGRATION
2048,3,1422334,1363085,21790,46735,8.714478e-05,INTEGRATION
2048,4,1964067,1565466,21790,24616,8.714478e-05,INTEGRATION
2048,5,1410243,1788932,31006,16302,8.714478e-05,INTEGRATION
4096,1,1752619,1809831,82083,89210,9.829474e-05,INTEGRATION
4096,2,1854947,1723264,88473,30105,9.829474e-05,INTEGRATION
4096,3,1513651,1723856,0,0,9.829474e-05,INTEGRATION
4096,4,1596440,1782975,60006,0,9.829474e-05,INTEGRATION
4096,5,1482500,1799603,84049,80322,9.829474e-05,INTEGRATION
8192,1,1724083,2307117,105194,51896,1.442647e-04,INTEGRATION
8192,2,1676394,2268931,52686,29339,1.442647e-04,INTEGRATION
8192,3,1921157,2206283,51507,90545,1.442647e-04,INTEGRATION
8192,4,2227160,1964871,19577,12481,1.442647e-04,INTEGRATION
8192,5,1745733,2187619,50636,24792,1.442647e-04,INTEGRATION
16384,1,2339700,2746873,48969,153499,1.926409e-04,INTEGRATION
16384,2,2328470,2719960,131492,36982,1.926409e-04,INTEGRATION
16384,3,2228673,2777784,36138,24844,1.926409e-04,INTEGRATION
16384,4,2172738,3100538,126250,13344,1.926409e-04,INTEGRATION
16384,5,2377502,2842716,0,19520,1.926409e-04,INTEGRATION
32768,1,3428694,4507506,91591,234413,3.563940e-04,INTEGRATION
32768,2,3759787,4599531,194802,0,3.563940e-04,INTEGRATION
32768,3,3465584,5955258,133902,40942,3.563940e-04,INTEGRATION
32768,4,3490025,5091892,9676,88442,3.563940e-04,INTEGRATION
32768,5,3378316,4403494,278521,77911,3.563940e-04,INTEGRATION
65536,1,6946356,7600888,88332,104044,6.128548e-04,INTEGRATION
65536,2,6267978,7491984,4260,24680,6.128548e-04,INTEGRATION
65536,3,5496409,7910680,105740,207279,6.128548e-04,INTEGRATION
65536,4,5484559,7502034,42650,68425,6.128548e-04,INTEGRATION
65536,5,5572176,7782722,148939,177952,6.128548e-04,INTEGRATION
131072,1,10741690,14867630,195361,71724,1.192135e-03,INTEGRATION
131072,2,10103271,15608168,43167,102895,1.192135e-03,INTEGRATION
131072,3,11118347,14769178,28437,145851,1.192135e-03,INTEGRATION
131072,4,10903528,15082987,50931,97574,1.192135e-03,INTEGRATION
131072,5,11156935,15674133,119729,0,1.192135e-03,INTEGRATION
262144,1,18133848,28088393,135746,188,1.790342e-03,INTEGRATION
262144,2,19007293,28803048,249284,5367,1.790342e-03,INTEGRATION
262144,3,18057083,25940409,15610,24309,1.790342e-03,INTEGRATION
262144,4,18192657,26170156,140188,53423,1.790342e-03,INTEGRATION
262144,5,18067365,26372570,114629,42786,1.790342e-03,INTEGRATION
