size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,1508593,1229556,9830,4751,5.514203e-05,INTEGRATION
1024,2,1232126,1315907,9666,4751,5.514203e-05,INTEGRATION
1024,3,1317563,1381248,9666,4751,5.514203e-05,INTEGRATION
1024,4,1338775,1460536,9666,4751,5.514203e-05,INTEGRATION
1024,5,1371920,1461305,9666,4751,5.514203e-05,INTEGRATION
2048,1,1534225,1656963,18841,9011,3.475961e-05,INTEGRATION
2048,2,1429194,1514224,18677,8847,3.475961e-05,INTEGRATION
2048,3,1405575,1517224,18677,9011,3.475961e-05,INTEGRATION
2048,4,1413160,1514403,18677,9011,3.475961e-05,INTEGRATION
2048,5,1399720,1625433,18677,9011,3.475961e-05,INTEGRATION
4096,1,1670951,1760606,37519,17367,3.946494e-05,INTEGRATION
4096,2,1435653,1760162,37519,17367,3.946494e-05,INTEGRATION
4096,3,1513098,1783316,37519,17367,3.946494e-05,INTEGRATION
4096,4,1503274,1712184,37355,17367,3.946494e-05,INTEGRATION
4096,5,1476181,1614911,37355,17367,3.946494e-05,INTEGRATION
8192,1,1875236,2619823,75366,34078,5.848277e-05,INTEGRATION
8192,2,1653242,2902901,75366,34078,5.848277e-05,INTEGRATION
8192,3,1569028,2972566,75366,34078,5.848277e-05,INTEGRATION
8192,4,1500963,2705436,75366,34078,5.848277e-05,INTEGRATION
8192,5,1515113,2659049,75202,34078,5.848277e-05,INTEGRATION
16384,1,2088360,3060563,96013,20812,8.476686e-05,INTEGRATION
16384,2,1917953,3090747,96259,20279,8.476686e-05,INTEGRATION
16384,3,1877489,3349670,96014,21304,8.476686e-05,INTEGRATION
16384,4,1919049,3178245,96259,20485,8.476686e-05,INTEGRATION
16384,5,1879864,2912191,96259,21304,8.476686e-05,INTEGRATION
32768,1,2843526,3587458,106617,87126,1.374980e-04,INTEGRATION
32768,2,2787584,3589098,106622,87125,1.374980e-04,INTEGRATION
32768,3,2776370,3581141,115592,87126,1.374980e-04,INTEGRATION
32768,4,2619548,3597246,113954,25605,1.374980e-04,INTEGRATION
32768,5,2620923,3643464,95855,87290,1.374980e-04,INTEGRATION
65536,1,3972996,6601440,222372,73123,2.576686e-04,INTEGRATION
65536,2,3966476,6036545,189734,54321,2.576686e-04,INTEGRATION
65536,3,3975541,6220839,254655,63376,2.576686e-04,INTEGRATION
65536,4,3956513,6701596,175356,73818,2.576686e-04,INTEGRATION
65536,5,3960430,6380393,235323,53626,2.576686e-04,INTEGRATION
131072,1,7180436,10873689,149794,44774,4.923067e-04,INTEGRATION
131072,2,6870876,10910769,86961,59641,4.923067e-04,INTEGRATION
131072,3,6869826,11531840,229383,71817,4.923067e-04,INTEGRATION
131072,4,6828763,10881186,217874,87003,4.923067e-04,INTEGRATION
131072,5,7216904,10868870,91266,56939,4.923067e-04,INTEGRATION
262144,1,12930052,20866430,342270,39947,9.739922e-04,INTEGRATION
262144,2,12438434,20996397,332250,80041,9.739922e-04,INTEGRATION
262144,3,12465316,20602249,137383,71894,9.739922e-04,INTEGRATION
262144,4,12495802,20960120,241831,34780,9.739922e-04,INTEGRATION
262144,5,12518649,20659762,236178,61243,9.739922e-04,INTEGRATION
