size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,15731661,14128330,73728,67174,6.231467e-05,INTEGRATION
1024,2,14406315,15204092,72089,68812,6.231467e-05,INTEGRATION
1024,3,16330930,16943100,72089,68812,6.231467e-05,INTEGRATION
1024,4,16076638,16288792,73728,68812,6.231467e-05,INTEGRATION
1024,5,15333007,15332277,72089,68812,6.231467e-05,INTEGRATION
2048,1,17487230,16749384,142540,132710,5.329555e-05,INTEGRATION
2048,2,17206800,17294492,142540,132710,5.329555e-05,INTEGRATION
2048,3,17723200,17458992,142540,132710,5.329555e-05,INTEGRATION
2048,4,16132992,17271076,142540,132710,5.329555e-05,INTEGRATION
2048,5,16184853,16148307,142540,132710,5.329555e-05,INTEGRATION
4096,1,18628861,18963138,281804,263782,6.697586e-05,INTEGRATION
4096,2,18815261,18798584,281804,263782,6.697586e-05,INTEGRATION
4096,3,18837015,18698492,281804,263782,6.697586e-05,INTEGRATION
4096,4,18368061,18735446,281804,263782,6.697586e-05,INTEGRATION
4096,5,18508961,18925269,281804,263782,6.697586e-05,INTEGRATION
8192,1,25421200,25660000,560332,519372,1.029429e-04,INTEGRATION
8192,2,25380000,25769946,560332,519372,1.029429e-04,INTEGRATION
8192,3,25360376,25945653,560332,519372,1.029429e-04,INTEGRATION
8192,4,25386269,25617546,560332,519372,1.029429e-04,INTEGRATION
8192,5,25580330,25749230,560332,519372,1.029429e-04,INTEGRATION
16384,1,40134823,40713784,513728,437544,1.870530e-04,INTEGRATION
16384,2,40264207,40534430,513729,435906,1.870530e-04,INTEGRATION
16384,3,39779415,40150730,512089,434269,1.870530e-04,INTEGRATION
16384,4,39644530,40364584,513742,435920,1.870530e-04,INTEGRATION
16384,5,40182769,39922023,513738,437546,1.870530e-04,INTEGRATION
32768,1,67982961,68369630,206212,759489,3.687132e-04,INTEGRATION
32768,2,70865723,68342307,189826,741878,3.687132e-04,INTEGRATION
32768,3,69882030,69730038,791028,740239,3.687132e-04,INTEGRATION
32768,4,67715361,68949192,820517,689448,3.687132e-04,INTEGRATION
32768,5,68083600,68743407,181800,738600,3.687132e-04,INTEGRATION
65536,1,124134330,127853323,903760,696503,6.905716e-04,INTEGRATION
65536,2,124116576,127590369,875813,616223,6.905716e-04,INTEGRATION
65536,3,123398984,130163515,859524,662098,6.905716e-04,INTEGRATION
65536,4,123761669,131037877,887375,711248,6.905716e-04,INTEGRATION
65536,5,124039138,129917107,875908,555187,6.905716e-04,INTEGRATION
131072,1,233477469,244044184,893836,906536,1.367535e-03,INTEGRATION
131072,2,235350238,239423261,261508,859841,1.367535e-03,INTEGRATION
131072,3,235002923,241370000,941344,903260,1.367535e-03,INTEGRATION
131072,4,236334061,241185292,1038424,226190,1.367535e-03,INTEGRATION
131072,5,234745253,246057838,773837,184912,1.367535e-03,INTEGRATION
262144,1,458457300,471571161,980684,775065,2.697455e-03,INTEGRATION
262144,2,457914223,473507330,962660,804558,2.697455e-03,INTEGRATION
262144,3,459541507,478676430,969213,662112,2.697455e-03,INTEGRATION
262144,4,458950453,477847053,990512,876236,2.697455e-03,INTEGRATION
262144,5,458559076,474287361,903677,824217,2.697455e-03,INTEGRATION
