size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,2601938,2455483,11468,6225,5.435336e-05,INTEGRATION
1024,2,2427773,2664252,11141,6225,5.435336e-05,INTEGRATION
1024,3,2844515,2916727,11141,6225,5.435336e-05,INTEGRATION
1024,4,2932338,3020430,11141,6225,5.435336e-05,INTEGRATION
1024,5,2931329,2953663,11141,6553,5.435336e-05,INTEGRATION
2048,1,3186789,3210147,21299,11796,3.468497e-05,INTEGRATION
2048,2,2843513,3001509,21299,11796,3.468497e-05,INTEGRATION
2048,3,2840178,2983846,21299,11796,3.468497e-05,INTEGRATION
2048,4,2835638,3104313,21299,11468,3.468497e-05,INTEGRATION
2048,5,2883556,2993378,21299,11468,3.468497e-05,INTEGRATION
4096,1,3339556,3261280,41943,21954,3.766174e-05,INTEGRATION
4096,2,2924743,3271175,41615,21954,3.766174e-05,INTEGRATION
4096,3,3163003,3313336,41943,21954,3.766174e-05,INTEGRATION
4096,4,2941747,3371033,41615,21954,3.766174e-05,INTEGRATION
4096,5,3056552,3452018,41615,21954,3.766174e-05,INTEGRATION
8192,1,3684524,3523661,84541,42926,4.650494e-05,INTEGRATION
8192,2,3063561,3416656,84541,42926,4.650494e-05,INTEGRATION
8192,3,3055913,3693367,84213,42926,4.650494e-05,INTEGRATION
8192,4,3164090,3671686,84541,42926,4.650494e-05,INTEGRATION
8192,5,3240283,3729772,84541,42926,4.650494e-05,INTEGRATION
16384,1,4005155,5136436,181862,103710,6.917109e-05,INTEGRATION
16384,2,3623673,4828561,181862,103710,6.917109e-05,INTEGRATION
16384,3,3631456,5426732,181862,103710,6.917109e-05,INTEGRATION
16384,4,3639476,5135249,181862,103710,6.917109e-05,INTEGRATION
16384,5,3665278,5040806,181862,103710,6.917109e-05,INTEGRATION
32768,1,4926315,6669316,214398,63006,1.158535e-04,INTEGRATION
32768,2,4849612,6614400,216524,61941,1.158535e-04,INTEGRATION
32768,3,4896590,7574373,209479,62679,1.158535e-04,INTEGRATION
32768,4,4858295,6558576,216524,62678,1.158535e-04,INTEGRATION
32768,5,4928393,6643475,216524,61941,1.158535e-04,INTEGRATION
65536,1,8216546,9480473,102747,74147,2.055451e-04,INTEGRATION
65536,2,7449680,9541278,77505,78653,2.055451e-04,INTEGRATION
65536,3,7433667,9573753,321954,87009,2.055451e-04,INTEGRATION
65536,4,7487158,9499883,142067,74153,2.055451e-04,INTEGRATION
65536,5,7412256,9609833,333261,86681,2.055451e-04,INTEGRATION
131072,1,12672121,16649936,150014,59809,3.875027e-04,INTEGRATION
131072,2,12655575,16565224,150014,67924,3.875027e-04,INTEGRATION
131072,3,12649107,17156072,399287,233491,3.875027e-04,INTEGRATION
131072,4,13098676,16616196,175740,86845,3.875027e-04,INTEGRATION
131072,5,12589432,16632272,295740,76031,3.875027e-04,INTEGRATION
262144,1,23189056,30750056,232838,234640,7.529658e-04,INTEGRATION
262144,2,23755575,31584592,382903,49244,7.529658e-04,INTEGRATION
262144,3,22679158,31163564,496784,202690,7.529658e-04,INTEGRATION
262144,4,23532481,30750933,331785,165416,7.529658e-04,INTEGRATION
262144,5,22679564,30779132,280667,154440,7.529658e-04,INTEGRATION
