size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,712240,1249710,0.008456
1024,2,859570,911400,0.008456
1024,3,598740,402570,0.008456
1024,4,293710,249400,0.008456
1024,5,240160,165290,0.008456
1024,6,178970,180800,0.008456
1024,7,175330,145260,0.008456
1024,8,200920,138400,0.008456
1024,9,175150,162910,0.008456
1024,10,191870,138370,0.008456
1024,11,208710,159470,0.008456
1024,12,216060,145670,0.008456
1024,13,194380,142400,0.008456
1024,14,184780,126700,0.008456
1024,15,177180,128290,0.008456
1024,16,222180,148990,0.008456
1024,17,89740,123540,0.008456
1024,18,70030,106490,0.008456
1024,19,81860,126050,0.008456
1024,20,80320,107980,0.008456
1024,21,69800,100000,0.008456
1024,22,97840,119800,0.008456
1024,23,135690,154230,0.008456
1024,24,64070,98480,0.008456
1024,25,76400,120830,0.008456
1024,26,58500,104290,0.008456
1024,27,59430,96230,0.008456
1024,28,64680,96530,0.008456
1024,29,64830,90000,0.008456
1024,30,57740,130460,0.008456
2048,1,137360,137340,0.004305
2048,2,90210,155750,0.004305
2048,3,106040,182160,0.004305
2048,4,98990,129370,0.004305
2048,5,94610,149530,0.004305
2048,6,118610,142640,0.004305
2048,7,112520,123370,0.004305
2048,8,96870,118250,0.004305
2048,9,214790,445200,0.004305
2048,10,716730,425110,0.004305
2048,11,93770,137210,0.004305
2048,12,89490,117230,0.004305
2048,13,96020,147070,0.004305
2048,14,94690,148770,0.004305
2048,15,118350,128510,0.004305
2048,16,103980,143550,0.004305
2048,17,133790,141000,0.004305
2048,18,96690,137650,0.004305
2048,19,95270,123010,0.004305
2048,20,144360,142120,0.004305
2048,21,91290,113280,0.004305
2048,22,86660,113260,0.004305
2048,23,81330,121150,0.004305
2048,24,75160,113940,0.004305
2048,25,92150,120210,0.004305
2048,26,81600,112550,0.004305
2048,27,74840,117710,0.004305
2048,28,94940,116210,0.004305
2048,29,73320,117660,0.004305
2048,30,85640,113830,0.004305
4096,1,324130,747930,0.008506
4096,2,235080,543380,0.008506
4096,3,421480,224590,0.008506
4096,4,170300,221780,0.008506
4096,5,661520,426690,0.008506
4096,6,796990,201380,0.008506
4096,7,236790,206790,0.008506
4096,8,145930,202940,0.008506
4096,9,172750,261280,0.008506
4096,10,456910,197470,0.008506
4096,11,139860,201900,0.008506
4096,12,137890,241990,0.008506
4096,13,184750,424390,0.008506
4096,14,470420,689050,0.008506
4096,15,187940,373560,0.008506
4096,16,176450,331480,0.008506
4096,17,195090,253790,0.008506
4096,18,144020,218580,0.008506
4096,19,187960,226790,0.008506
4096,20,172830,363330,0.008506
4096,21,346870,434680,0.008506
4096,22,695870,295960,0.008506
4096,23,248190,260410,0.008506
4096,24,203260,315720,0.008506
4096,25,196790,284790,0.008506
4096,26,154220,278660,0.008506
4096,27,148760,341930,0.008506
4096,28,387150,296190,0.008506
4096,29,205610,266420,0.008506
4096,30,251060,278530,0.008506
8192,1,282180,412610,0.012786
8192,2,310720,590620,0.012786
8192,3,440760,408610,0.012786
8192,4,277630,391650,0.012786
8192,5,344570,585970,0.012786
8192,6,686970,376430,0.012786
8192,7,263990,415420,0.012786
8192,8,711790,415440,0.012786
8192,9,276440,420050,0.012786
8192,10,317850,568280,0.012786
8192,11,701240,397240,0.012786
8192,12,296870,455300,0.012786
8192,13,696890,429480,0.012786
8192,14,301000,433930,0.012786
8192,15,383590,564510,0.012786
8192,16,703250,443320,0.012786
