size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,6459200,1713000,0.008530
1024,2,3291300,1452700,0.008530
1024,3,1085000,1405600,0.008530
1024,4,1193500,2622900,0.008530
1024,5,1176200,1593100,0.008530
1024,6,1272800,1759000,0.008530
1024,7,3816500,713700,0.008530
1024,8,353000,736500,0.008530
1024,9,503400,733200,0.008530
1024,10,318200,708900,0.008530
1024,11,340200,835400,0.008530
1024,12,387500,784300,0.008530
1024,13,639000,780400,0.008530
1024,14,368000,677200,0.008530
1024,15,316700,689000,0.008530
2048,1,784400,2359000,0.008467
2048,2,1353000,1733200,0.008467
2048,3,775400,1553000,0.008467
2048,4,656100,2025900,0.008467
2048,5,662600,1751000,0.008467
2048,6,740700,1376000,0.008467
2048,7,597100,1837300,0.008467
2048,8,777100,1550400,0.008467
2048,9,707900,1082500,0.008467
2048,10,621100,935200,0.008467
2048,11,632800,1349300,0.008467
2048,12,697000,483500,0.008467
2048,13,764400,559400,0.008467
2048,14,718500,426200,0.008467
2048,15,1028900,516800,0.008467
4096,1,2250800,1529000,0.008579
4096,2,1196000,1814600,0.008579
4096,3,925900,540900,0.008579
4096,4,713100,632700,0.008579
4096,5,669600,564700,0.008579
4096,6,2638500,487000,0.008579
4096,7,466100,534000,0.008579
4096,8,458300,640400,0.008579
4096,9,457100,365900,0.008579
4096,10,428600,377900,0.008579
4096,11,692000,390300,0.008579
4096,12,451000,397300,0.008579
4096,13,535900,370200,0.008579
4096,14,424400,387200,0.008579
4096,15,466900,389200,0.008579
8192,1,1273000,993700,0.008493
8192,2,907400,704500,0.008493
8192,3,1177100,729700,0.008493
8192,4,1574900,1025500,0.008493
8192,5,877500,952300,0.008493
8192,6,1493300,1051900,0.008493
8192,7,944100,1538500,0.008493
8192,8,2534700,1072400,0.008493
8192,9,4226500,1381800,0.008493
8192,10,1309500,843800,0.008493
8192,11,836200,717600,0.008493
8192,12,474700,589000,0.008493
8192,13,459000,679500,0.008493
8192,14,465600,944900,0.008493
8192,15,486700,565200,0.008493
16384,1,1163200,1068000,0.008580
16384,2,966600,2254800,0.008580
16384,3,997700,1494700,0.008580
16384,4,1383000,1095900,0.008580
16384,5,1089500,844300,0.008580
16384,6,686900,860800,0.008580
16384,7,605100,2187600,0.008580
16384,8,1220700,1745800,0.008580
16384,9,805600,1737800,0.008580
16384,10,3672300,1267900,0.008580
16384,11,683700,1627200,0.008580
16384,12,636200,1087900,0.008580
16384,13,668900,872900,0.008580
16384,14,603000,1219400,0.008580
16384,15,672200,889100,0.008580
32768,1,1446400,2152200,0.008517
32768,2,1252700,1742300,0.008517
32768,3,1278300,3679400,0.008517
32768,4,2843100,4800500,0.008517
32768,5,1813500,1805600,0.008517
32768,6,1174100,1622800,0.008517
32768,7,1240400,1654500,0.008517
32768,8,1184300,1839700,0.008517
32768,9,1318100,2541900,0.008517
32768,10,1616900,1782000,0.008517
32768,11,1251200,2276700,0.008517
32768,12,1140100,1692400,0.008517
32768,13,1195600,3346000,0.008517
32768,14,2949000,4854600,0.008517
32768,15,1700900,1594700,0.008517
65536,1,2393100,3465300,0.016979
65536,2,2250800,3370300,0.016979
65536,3,3781000,6335200,0.016979
65536,4,2084100,3438100,0.016979
65536,5,2361600,3600400,0.016979
65536,6,2578800,3764300,0.016979
65536,7,3857100,6780500,0.016979
65536,8,3015600,3512300,0.016979
65536,9,2043400,3515500,0.016979
65536,10,2627600,3582000,0.016979
65536,11,2227200,7438800,0.016979
65536,12,4156300,3621600,0.016979
65536,13,2112700,3968000,0.016979
65536,14,2260300,3706800,0.016979
65536,15,2694400,3605200,0.016979
131072,1,4441700,6831300,0.017106
131072,2,4240600,10135300,0.017106
131072,3,4739100,8692800,0.017106
131072,4,6908700,6555500,0.017106
131072,5,4527400,6721200,0.017106
131072,6,4433000,10646700,0.017106
131072,7,4182400,7689300,0.017106
131072,8,4619100,8158500,0.017106
131072,9,7637700,6560500,0.017106
131072,10,4724200,6819700,0.017106
131072,11,8626900,7064700,0.017106
131072,12,4272400,6769400,0.017106
131072,13,4409300,7682500,0.017106
131072,14,8462100,6807900,0.017106
131072,15,4958600,6724200,0.017106
262144,1,8419300,14890400,0.034112
262144,2,11207800,13588600,0.034112
262144,3,9080000,17499700,0.034112
262144,4,9175400,16103700,0.034112
262144,5,8715700,14025600,0.034112
262144,6,11906700,13075300,0.034112
262144,7,8406700,17030700,0.034112
262144,8,9464400,13051400,0.034112
262144,9,12090400,13189100,0.034112
262144,10,9230700,18182600,0.034112
262144,11,8442000,13184300,0.034112
262144,12,12182500,13765200,0.034112
262144,13,8388900,16265000,0.034112
262144,14,8517100,13599000,0.034112
262144,15,12148600,13453600,0.034112
524288,1,22178100,30159700,0.068720
524288,2,17310000,30621900,0.068720
524288,3,21596000,30506800,0.068720
524288,4,17744900,29551800,0.068720
524288,5,17856500,29231400,0.068720
524288,6,20933600,30797800,0.068720
524288,7,17557300,28722100,0.068720
524288,8,17530100,29485400,0.068720
524288,9,20176000,30258600,0.068720
524288,10,17440900,29635700,0.068720
524288,11,17870700,30371200,0.068720
524288,12,20899700,30470300,0.068720
524288,13,17066600,29749200,0.068720
524288,14,17941100,30747100,0.068720
524288,15,20488500,30815300,0.068720
1048576,1,39257100,55919600,0.118906
1048576,2,36666900,58111300,0.118906
1048576,3,36697900,55419400,0.118906
1048576,4,37982800,57400400,0.118906
1048576,5,36758400,57417100,0.118906
1048576,6,37202300,55080900,0.118906
1048576,7,37938600,55789600,0.118906
1048576,8,37717800,56131400,0.118906
1048576,9,37420400,57397400,0.118906
1048576,10,36414900,55595900,0.118906
1048576,11,36516400,56031800,0.118906
1048576,12,39188500,57704800,0.118906
1048576,13,36126800,55700300,0.118906
1048576,14,36925000,56042100,0.118906
1048576,15,37879400,55506700,0.118906
