size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,4521900,318300,0.008543
1024,2,609900,144300,0.008543
1024,3,271800,193700,0.008543
1024,4,224100,642600,0.008543
1024,5,194700,141200,0.008543
1024,6,106000,85100,0.008543
1024,7,58900,135400,0.008543
1024,8,292300,279600,0.008543
1024,9,490000,110500,0.008543
1024,10,387600,392700,0.008543
1024,11,452000,265900,0.008543
1024,12,302700,725200,0.008543
1024,13,285200,421200,0.008543
1024,14,368700,193100,0.008543
1024,15,178100,122200,0.008543
2048,1,800500,815500,0.008646
2048,2,488000,116800,0.008646
2048,3,84300,135300,0.008646
2048,4,182200,145600,0.008646
2048,5,81200,82300,0.008646
2048,6,95500,1733700,0.008646
2048,7,116200,109700,0.008646
2048,8,103200,97700,0.008646
2048,9,76500,94900,0.008646
2048,10,95000,150000,0.008646
2048,11,160900,106100,0.008646
2048,12,76400,93800,0.008646
2048,13,89000,257500,0.008646
2048,14,136800,98300,0.008646
2048,15,83000,90700,0.008646
4096,1,416200,486600,0.008547
4096,2,228200,689000,0.008547
4096,3,262700,538800,0.008547
4096,4,282400,321800,0.008547
4096,5,297000,771300,0.008547
4096,6,437300,321100,0.008547
4096,7,153600,189400,0.008547
4096,8,125400,176700,0.008547
4096,9,111900,179800,0.008547
4096,10,242200,293500,0.008547
4096,11,205700,214400,0.008547
4096,12,461600,292000,0.008547
4096,13,263600,739400,0.008547
4096,14,443800,499900,0.008547
4096,15,188100,177300,0.008547
8192,1,663000,371000,0.008734
8192,2,271700,618200,0.008734
8192,3,925700,554000,0.008734
8192,4,203000,1763200,0.008734
8192,5,207000,278500,0.008734
8192,6,1738600,954400,0.008734
8192,7,434000,569400,0.008734
8192,8,286900,271500,0.008734
8192,9,904600,438300,0.008734
8192,10,270000,297400,0.008734
8192,11,133500,313400,0.008734
8192,12,186100,294800,0.008734
8192,13,155500,293300,0.008734
8192,14,175200,255600,0.008734
8192,15,118600,335200,0.008734
16384,1,365600,1083600,0.008616
16384,2,338100,3176700,0.008616
16384,3,1417400,1272000,0.008616
16384,4,1053900,1865600,0.008616
16384,5,1544700,1373100,0.008616
16384,6,246700,481100,0.008616
16384,7,612400,518600,0.008616
16384,8,298100,512100,0.008616
16384,9,510700,6369500,0.008616
16384,10,2102400,2720200,0.008616
16384,11,1780800,554400,0.008616
16384,12,378800,3540000,0.008616
16384,13,893700,1227900,0.008616
16384,14,251900,1310700,0.008616
16384,15,308800,490200,0.008616
32768,1,647500,2476500,0.008760
32768,2,665000,1832500,0.008760
32768,3,596700,954800,0.008760
32768,4,506300,2410000,0.008760
32768,5,440500,1254700,0.008760
32768,6,3235200,1225700,0.008760
32768,7,7068700,1682700,0.008760
32768,8,2102800,3126100,0.008760
32768,9,992100,2016400,0.008760
32768,10,887000,1809700,0.008760
32768,11,1376800,1422600,0.008760
32768,12,543300,2318200,0.008760
32768,13,1405500,4554500,0.008760
32768,14,1331400,1737300,0.008760
32768,15,477300,1407800,0.008760
65536,1,847900,3477700,0.008579
65536,2,653200,2060400,0.008579
65536,3,702500,2068400,0.008579
