size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,230070,168690,0.004240
1024,2,151010,145440,0.004240
1024,3,141400,165810,0.004240
1024,4,130030,191550,0.004240
1024,5,174940,225780,0.004240
1024,6,124690,153660,0.004240
1024,7,104080,146100,0.004240
1024,8,102060,145040,0.004240
1024,9,101520,122650,0.004240
1024,10,99030,134430,0.004240
1024,11,101770,210250,0.004240
1024,12,147870,138000,0.004240
1024,13,121740,141230,0.004240
1024,14,98740,127110,0.004240
1024,15,120040,169460,0.004240
1024,16,94570,135250,0.004240
1024,17,137400,160870,0.004240
1024,18,194410,246760,0.004240
1024,19,95690,106990,0.004240
1024,20,117030,346360,0.004240
1024,21,141120,119270,0.004240
1024,22,182520,82890,0.004240
1024,23,64280,116530,0.004240
1024,24,66790,90060,0.004240
1024,25,74820,77680,0.004240
1024,26,62910,90990,0.004240
1024,27,70680,87700,0.004240
1024,28,72650,79700,0.004240
1024,29,55650,78890,0.004240
1024,30,57590,91200,0.004240
2048,1,83710,190170,0.004231
2048,2,83750,128020,0.004231
2048,3,137550,207900,0.004231
2048,4,308290,167440,0.004231
2048,5,77100,161660,0.004231
2048,6,88590,115210,0.004231
2048,7,111710,116250,0.004231
2048,8,82780,173020,0.004231
2048,9,80450,114070,0.004231
2048,10,96600,216610,0.004231
2048,11,75950,112780,0.004231
2048,12,89000,153720,0.004231
2048,13,73720,188680,0.004231
2048,14,110430,116040,0.004231
2048,15,93270,163890,0.004231
2048,16,82720,219590,0.004231
2048,17,426410,138600,0.004231
2048,18,77110,124590,0.004231
2048,19,77380,112780,0.004231
2048,20,87360,156480,0.004231
2048,21,104990,124700,0.004231
2048,22,106680,112810,0.004231
2048,23,87700,127670,0.004231
2048,24,85820,179350,0.004231
2048,25,74300,117580,0.004231
2048,26,83250,612810,0.004231
2048,27,156970,120770,0.004231
2048,28,116920,126170,0.004231
2048,29,79090,112210,0.004231
2048,30,80400,137150,0.004231
4096,1,209620,266410,0.008505
4096,2,169670,253760,0.008505
4096,3,264170,496000,0.008505
4096,4,143490,272520,0.008505
4096,5,158290,228260,0.008505
4096,6,147110,231180,0.008505
4096,7,155980,211400,0.008505
4096,8,224300,529730,0.008505
