size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,457530,301180,0.004369
1024,2,129230,97510,0.004369
1024,3,95880,159600,0.004369
1024,4,195400,166810,0.004369
1024,5,115350,110300,0.004369
1024,6,91900,118810,0.004369
1024,7,85280,119480,0.004369
1024,8,41810,138160,0.004369
1024,9,94570,56830,0.004369
1024,10,43720,62300,0.004369
1024,11,43690,58640,0.004369
1024,12,41790,111110,0.004369
1024,13,41220,57650,0.004369
1024,14,40450,56800,0.004369
1024,15,128830,110380,0.004369
1024,16,95150,85210,0.004369
1024,17,41170,86930,0.004369
1024,18,43870,73410,0.004369
1024,19,70890,132480,0.004369
1024,20,86370,69210,0.004369
1024,21,40190,55060,0.004369
1024,22,73860,66710,0.004369
1024,23,54600,138020,0.004369
1024,24,144280,98820,0.004369
1024,25,80330,102640,0.004369
1024,26,60520,149730,0.004369
1024,27,79510,113510,0.004369
1024,28,74800,52220,0.004369
1024,29,36000,53390,0.004369
1024,30,64390,55460,0.004369
2048,1,82450,162510,0.004226
2048,2,79630,116580,0.004226
2048,3,70270,119940,0.004226
2048,4,67570,102200,0.004226
2048,5,68190,108090,0.004226
2048,6,94260,94060,0.004226
2048,7,74800,97280,0.004226
2048,8,106410,119760,0.004226
2048,9,71900,101430,0.004226
2048,10,83180,103260,0.004226
2048,11,214750,100090,0.004226
2048,12,69680,137880,0.004226
2048,13,82260,191340,0.004226
2048,14,410950,145000,0.004226
2048,15,69200,117510,0.004226
2048,16,67840,185530,0.004226
2048,17,67170,116570,0.004226
2048,18,70880,99590,0.004226
2048,19,64410,99070,0.004226
2048,20,76730,97100,0.004226
2048,21,76570,95300,0.004226
2048,22,138430,113260,0.004226
2048,23,64380,108290,0.004226
2048,24,63090,89090,0.004226
2048,25,76610,93380,0.004226
2048,26,80310,95920,0.004226
2048,27,62900,100730,0.004226
2048,28,60630,106220,0.004226
2048,29,59510,91430,0.004226
2048,30,58680,114260,0.004226
4096,1,166860,236960,0.008581
4096,2,129480,186420,0.008581
4096,3,179210,231970,0.008581
4096,4,127690,277300,0.008581
4096,5,125870,219470,0.008581
4096,6,193270,315100,0.008581
4096,7,398640,246330,0.008581
4096,8,118240,194120,0.008581
4096,9,115990,218460,0.008581
4096,10,133770,193240,0.008581
4096,11,135850,220200,0.008581
4096,12,128970,215800,0.008581
4096,13,200340,475550,0.008581
4096,14,127930,219280,0.008581
4096,15,139050,259860,0.008581
4096,16,117610,185580,0.008581
4096,17,134550,424640,0.008581
4096,18,142770,263390,0.008581
4096,19,121930,205570,0.008581
4096,20,185130,198410,0.008581
4096,21,117690,212830,0.008581
4096,22,270570,529410,0.008581
4096,23,138640,185800,0.008581
4096,24,150610,184590,0.008581
4096,25,113410,211560,0.008581
4096,26,119070,201370,0.008581
4096,27,190540,205740,0.008581
4096,28,134700,523180,0.008581
4096,29,121260,218330,0.008581
4096,30,135240,191400,0.008581
8192,1,413230,694830,0.013254
8192,2,245580,395300,0.013254
8192,3,246610,385010,0.013254
8192,4,369520,801700,0.013254
8192,5,234340,387570,0.013254
8192,6,260220,425010,0.013254
8192,7,291600,397140,0.013254
8192,8,657300,440440,0.013254
8192,9,248940,368440,0.013254
8192,10,238110,480780,0.013254
8192,11,415480,725120,0.013254
8192,12,236090,475860,0.013254
8192,13,253210,372270,0.013254
8192,14,225730,468080,0.013254
8192,15,255770,867000,0.013254
8192,16,287340,389530,0.013254
8192,17,244700,385020,0.013254
8192,18,253500,587980,0.013254
8192,19,511910,381030,0.013254
8192,20,257700,396610,0.013254
8192,21,299750,378160,0.013254
8192,22,440400,593800,0.013254
8192,23,242550,406980,0.013254
8192,24,247940,458710,0.013254
8192,25,566770,398120,0.013254
8192,26,226470,1539640,0.013254
8192,27,252240,440880,0.013254
8192,28,299050,552580,0.013254
8192,29,571240,355790,0.013254
8192,30,254840,371160,0.013254
16384,1,900020,1165930,0.021188
16384,2,446210,711950,0.021188
16384,3,921370,1059000,0.021188
16384,4,448720,885520,0.021188
16384,5,1016030,743590,0.021188
16384,6,409060,699410,0.021188
16384,7,936270,906480,0.021188
16384,8,609640,795490,0.021188
16384,9,397320,1377930,0.021188
16384,10,614350,643700,0.021188
16384,11,823720,911560,0.021188
16384,12,430630,700480,0.021188
16384,13,881620,887410,0.021188
16384,14,426220,688420,0.021188
16384,15,722900,1115730,0.021188
16384,16,430350,695650,0.021188
16384,17,465140,1343780,0.021188
16384,18,579720,703320,0.021188
16384,19,443790,1386330,0.021188
16384,20,418210,667310,0.021188
16384,21,468010,1116230,0.021188
16384,22,751290,675680,0.021188
16384,23,425860,1354940,0.021188
16384,24,422700,646200,0.021188
16384,25,433180,954040,0.021188
16384,26,916050,734760,0.021188
16384,27,447770,725040,0.021188
16384,28,959490,894190,0.021188
16384,29,434160,669280,0.021188
16384,30,439860,1593100,0.021188
32768,1,1037690,1586240,0.038363
32768,2,988130,1756420,0.038363
