size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,2847500,663000,0.008510
1024,2,1092800,690200,0.008510
1024,3,755900,617300,0.008510
1024,4,817300,400900,0.008510
1024,5,582200,434700,0.008510
1024,6,424600,660700,0.008510
1024,7,381500,386800,0.008510
1024,8,384100,460300,0.008510
1024,9,374100,607400,0.008510
1024,10,284500,192800,0.008510
1024,11,170000,184800,0.008510
1024,12,172600,188400,0.008510
1024,13,181700,193100,0.008510
1024,14,179800,182200,0.008510
1024,15,169900,185300,0.008510
2048,1,408300,382500,0.008499
2048,2,318000,379000,0.008499
2048,3,311400,688000,0.008499
2048,4,360100,391200,0.008499
2048,5,381800,421100,0.008499
2048,6,348900,374500,0.008499
2048,7,429900,495900,0.008499
2048,8,346900,373600,0.008499
2048,9,185400,164800,0.008499
2048,10,125700,254000,0.008499
2048,11,179100,160000,0.008499
2048,12,127900,163200,0.008499
2048,13,128200,160000,0.008499
2048,14,127000,157700,0.008499
2048,15,126600,178600,0.008499
4096,1,608400,519600,0.008550
4096,2,412200,324300,0.008550
4096,3,232200,321400,0.008550
4096,4,298000,376200,0.008550
4096,5,425800,396800,0.008550
4096,6,172500,221900,0.008550
4096,7,146300,217900,0.008550
4096,8,258800,223100,0.008550
4096,9,153200,215900,0.008550
4096,10,144300,211600,0.008550
4096,11,145300,215200,0.008550
4096,12,141300,226900,0.008550
4096,13,153000,221100,0.008550
4096,14,143700,215200,0.008550
4096,15,144200,290200,0.008550
8192,1,391300,424700,0.008554
8192,2,267200,395500,0.008554
8192,3,279000,535500,0.008554
8192,4,266700,395900,0.008554
8192,5,255700,409200,0.008554
8192,6,264700,868900,0.008554
8192,7,294100,401400,0.008554
8192,8,263100,415800,0.008554
8192,9,282100,399600,0.008554
8192,10,264800,397600,0.008554
8192,11,1529500,453100,0.008554
8192,12,271900,440400,0.008554
8192,13,286800,471600,0.008554
8192,14,286500,433200,0.008554
8192,15,362300,397600,0.008554
16384,1,2039900,945900,0.008542
16384,2,574800,1178200,0.008542
16384,3,689300,876600,0.008542
16384,4,703900,840000,0.008542
16384,5,847900,859200,0.008542
16384,6,744800,1327400,0.008542
16384,7,548400,940000,0.008542
16384,8,898900,829100,0.008542
16384,9,540900,1063200,0.008542
16384,10,544300,2511700,0.008542
16384,11,907900,989500,0.008542
16384,12,804300,936000,0.008542
16384,13,506700,834800,0.008542
16384,14,482200,1387600,0.008542
16384,15,776400,781100,0.008542
32768,1,1217200,1610900,0.009371
32768,2,8733200,2973500,0.009371
32768,3,1001000,1772900,0.009371
32768,4,914600,1461800,0.009371
32768,5,1172300,1466600,0.009371
32768,6,1221400,2098900,0.009371
32768,7,1025000,3921600,0.009371
32768,8,4415000,4367200,0.009371
32768,9,3274900,3486000,0.009371
32768,10,3379200,2192600,0.009371
32768,11,941200,1521400,0.009371
32768,12,1598100,1572300,0.009371
32768,13,1015200,1708500,0.009371
32768,14,1204600,1925200,0.009371
32768,15,1487400,1666300,0.009371
65536,1,2377500,3772200,0.008520
65536,2,3037400,7695400,0.008520
65536,3,2270300,5297200,0.008520
