size_bytes,enc_min_ns,enc_median_ns,enc_max_ns,dec_min_ns,dec_median_ns,dec_max_ns
1024,298500,532400,2893100,297400,538900,1567800
2048,167500,567600,1176300,202300,579200,1028900
4096,152900,163900,398700,216400,239200,767900
8192,272100,318700,2716800,395400,422300,795900
16384,495000,678600,1005400,764000,806000,1490700
32768,979800,1179900,4203300,1499500,1965200,3097400
65536,1819300,2161600,5199100,3004500,3657200,6091000
131072,3528000,4470000,7636300,5828700,6813300,11557700
262144,6896500,8228300,11957200,12065400,13735700,20013700
524288,13467600,16393300,18936300,25578500,31623100,42404900
1048576,27046400,28307500,34819200,48715300,50603800,56990900
