size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,1721240,1718250,0.038216
1024,2,1528070,1383610,0.038216
1024,3,1328100,1476670,0.038216
1024,4,1375390,1427090,0.038216
1024,5,1608220,1914880,0.038216
1024,6,1410690,1434860,0.038216
1024,7,1309510,1866550,0.038216
1024,8,1473290,1420620,0.038216
1024,9,1413430,1363680,0.038216
1024,10,1512230,1794790,0.038216
1024,11,1321360,1358500,0.038216
1024,12,1268580,1897330,0.038216
1024,13,1318870,1428470,0.038216
1024,14,1332450,1357690,0.038216
1024,15,1488640,1838970,0.038216
1024,16,1292590,1316450,0.038216
1024,17,1291910,1793660,0.038216
1024,18,1376660,1333300,0.038216
1024,19,1391680,1554050,0.038216
1024,20,2169750,1521840,0.038216
1024,21,1256450,1360460,0.038216
1024,22,1387010,2482510,0.038216
1024,23,1428590,1334510,0.038216
1024,24,1321210,1361620,0.038216
1024,25,1957680,1178820,0.038216
1024,26,1181110,1187420,0.038216
1024,27,1177020,1759630,0.038216
1024,28,1129750,1081960,0.038216
1024,29,1158730,1136450,0.038216
1024,30,1881410,1311710,0.038216
2048,1,2732390,2265710,0.059279
2048,2,2547810,2221580,0.059279
2048,3,2137620,2994510,0.059279
2048,4,2368070,2533700,0.059279
2048,5,2533620,2294930,0.059279
2048,6,2834320,2330920,0.059279
2048,7,2417740,2734580,0.059279
2048,8,2180530,2931650,0.059279
2048,9,2360150,2359770,0.059279
2048,10,2695650,2216160,0.059279
2048,11,2700130,2224190,0.059279
2048,12,2210270,2700760,0.059279
2048,13,2186660,2586480,0.059279
2048,14,2788160,2109330,0.059279
2048,15,2526410,2096360,0.059279
2048,16,2252650,2518450,0.059279
2048,17,2046190,2606970,0.059279
2048,18,2012110,2139960,0.059279
2048,19,2393240,2152350,0.059279
2048,20,2471530,2060500,0.059279
2048,21,2043010,2593170,0.059279
2048,22,2136740,2411720,0.059279
2048,23,2040750,2075120,0.059279
2048,24,2510690,2033450,0.059279
2048,25,2468670,2151240,0.059279
2048,26,2038380,2598450,0.059279
2048,27,2041630,2142630,0.059279
2048,28,2318760,2056550,0.059279
2048,29,2465850,2076270,0.059279
2048,30,2064400,2557800,0.059279
4096,1,4756990,4485170,0.119325
4096,2,6454090,6493270,0.119325
4096,3,4996220,4067780,0.119325
4096,4,4701290,4691580,0.119325
4096,5,4380120,4041130,0.119325
4096,6,4415550,4588580,0.119325
4096,7,4474610,4431340,0.119325
4096,8,3894840,4527730,0.119325
4096,9,4247910,4873690,0.119325
4096,10,4422230,4853030,0.119325
4096,11,4824700,4830340,0.119325
4096,12,4364620,5368670,0.119325
4096,13,4717140,5282130,0.119325
4096,14,4564750,4118990,0.119325
4096,15,4728770,5054720,0.119325
4096,16,5280080,4641310,0.119325
4096,17,4708320,4940470,0.119325
4096,18,4737200,4414630,0.119325
4096,19,4476670,4725120,0.119325
4096,20,4686740,4777840,0.119325
4096,21,4176720,4568100,0.119325
4096,22,4258800,4826930,0.119325
4096,23,4542030,4640150,0.119325
4096,24,4819100,4786030,0.119325
4096,25,4622420,4054990,0.119325
4096,26,4396960,4545440,0.119325
4096,27,4534440,3963340,0.119325
4096,28,4447730,4414600,0.119325
4096,29,4420120,4384170,0.119325
4096,30,4042470,4483870,0.119325
8192,1,8682870,8378640,0.216427
8192,2,8547230,8534360,0.216427
8192,3,8851380,8394020,0.216427
8192,4,8758370,9062160,0.216427
8192,5,8333630,8986680,0.216427
8192,6,8185860,9013310,0.216427
8192,7,8409350,9005720,0.216427
8192,8,8395090,8941550,0.216427
8192,9,8329530,8896630,0.216427
8192,10,8303770,9009880,0.216427
8192,11,8871250,8324950,0.216427
8192,12,8776920,8372130,0.216427
