size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,366970,209610,0.008500
1024,2,471230,260590,0.008500
1024,3,736230,278910,0.008500
1024,4,498670,261520,0.008500
1024,5,370620,247860,0.008500
1024,6,341900,290730,0.008500
1024,7,361160,231810,0.008500
1024,8,347740,234580,0.008500
1024,9,467960,260310,0.008500
1024,10,334910,194870,0.008500
1024,11,323070,219630,0.008500
1024,12,462640,238500,0.008500
1024,13,382150,233810,0.008500
1024,14,321910,263220,0.008500
1024,15,457400,545570,0.008500
1024,16,747130,239410,0.008500
1024,17,355870,257550,0.008500
1024,18,345690,290210,0.008500
1024,19,365540,239820,0.008500
1024,20,380210,219870,0.008500
1024,21,392630,233630,0.008500
1024,22,364830,240550,0.008500
1024,23,325430,230150,0.008500
1024,24,342360,229350,0.008500
1024,25,398520,202960,0.008500
1024,26,359850,238950,0.008500
1024,27,337380,246840,0.008500
1024,28,350070,207090,0.008500
1024,29,394010,224080,0.008500
1024,30,807070,266470,0.008500
2048,1,486200,417040,0.012690
2048,2,385880,302070,0.012690
2048,3,376430,300840,0.012690
2048,4,434950,286480,0.012690
2048,5,390530,319670,0.012690
2048,6,698610,366590,0.012690
2048,7,421250,274620,0.012690
2048,8,449900,271200,0.012690
2048,9,380030,257080,0.012690
2048,10,422900,287060,0.012690
2048,11,382600,278790,0.012690
2048,12,421260,279230,0.012690
2048,13,450840,256510,0.012690
2048,14,559870,521910,0.012690
2048,15,665090,255880,0.012690
2048,16,417760,287470,0.012690
2048,17,376330,267210,0.012690
2048,18,377510,274950,0.012690
2048,19,414160,297350,0.012690
2048,20,376340,285490,0.012690
2048,21,525050,328630,0.012690
2048,22,405050,829990,0.012690
2048,23,405360,311970,0.012690
2048,24,396720,278910,0.012690
2048,25,396380,260910,0.012690
2048,26,379750,275190,0.012690
2048,27,398920,286250,0.012690
2048,28,379940,287300,0.012690
2048,29,362950,279610,0.012690
2048,30,510100,289200,0.012690
4096,1,426280,419490,0.012898
4096,2,497690,406130,0.012898
4096,3,876290,449180,0.012898
4096,4,446300,365760,0.012898
4096,5,470530,359980,0.012898
4096,6,405740,341030,0.012898
4096,7,536220,711360,0.012898
4096,8,517980,435210,0.012898
4096,9,441530,389510,0.012898
4096,10,534090,372430,0.012898
4096,11,452480,406840,0.012898
4096,12,557550,701360,0.012898
4096,13,507400,357970,0.012898
4096,14,482990,354650,0.012898
4096,15,554530,380740,0.012898
4096,16,475990,466210,0.012898
4096,17,574700,711800,0.012898
4096,18,443770,360840,0.012898
4096,19,491620,374940,0.012898
4096,20,472500,380840,0.012898
4096,21,496100,790660,0.012898
4096,22,540350,396030,0.012898
4096,23,457360,347100,0.012898
4096,24,497750,405000,0.012898
4096,25,446580,373760,0.012898
4096,26,513030,794150,0.012898
4096,27,538540,353810,0.012898
4096,28,454870,343920,0.012898
4096,29,457180,356890,0.012898
4096,30,406750,381530,0.012898
8192,1,587390,953980,0.017045
8192,2,567490,484310,0.017045
8192,3,540390,517660,0.017045
8192,4,971480,546820,0.017045
8192,5,504620,551890,0.017045
8192,6,541090,600540,0.017045
8192,7,822820,502590,0.017045
8192,8,520840,538700,0.017045
8192,9,563560,873250,0.017045
8192,10,478380,483300,0.017045
8192,11,602160,558880,0.017045
8192,12,630790,800720,0.017045
8192,13,498890,545340,0.017045
8192,14,588260,851540,0.017045
8192,15,512490,479440,0.017045
8192,16,510930,485680,0.017045
8192,17,576240,895660,0.017045
8192,18,496080,485060,0.017045
8192,19,499580,515270,0.017045
8192,20,981820,510700,0.017045
8192,21,558210,554870,0.017045
8192,22,585100,1049550,0.017045
8192,23,532960,519310,0.017045
8192,24,508950,531870,0.017045
8192,25,915680,516770,0.017045
8192,26,536930,505420,0.017045
8192,27,583320,926570,0.017045
8192,28,515790,514910,0.017045
8192,29,507630,642320,0.017045
8192,30,729080,485130,0.017045
16384,1,1491990,898850,0.029567
16384,2,783150,1657010,0.029567
16384,3,783320,939340,0.029567
16384,4,1392220,864000,0.029567
16384,5,1000550,1442320,0.029567
16384,6,790190,1504410,0.029567
16384,7,774090,846200,0.029567
16384,8,963330,1545980,0.029567
16384,9,817740,1468820,0.029567
16384,10,763820,853140,0.029567
16384,11,853270,1434700,0.029567
16384,12,774880,1606280,0.029567
16384,13,769590,932310,0.029567
16384,14,803950,1735510,0.029567
16384,15,774340,1257240,0.029567
16384,16,971380,899870,0.029567
16384,17,1033470,1609220,0.029567
16384,18,768260,1527460,0.029567
16384,19,796260,878170,0.029567
16384,20,922620,1629590,0.029567
16384,21,751340,1511430,0.029567
16384,22,795530,903590,0.029567
16384,23,1107480,1450660,0.029567
16384,24,857320,1502060,0.029567
16384,25,776830,824420,0.029567
16384,26,866510,1660700,0.029567
16384,27,755560,1498610,0.029567
16384,28,791450,886350,0.029567
16384,29,958520,1507370,0.029567
16384,30,738740,1453300,0.029567
32768,1,1851440,1662760,0.046560
32768,2,1643940,1614490,0.046560
32768,3,1844010,2077170,0.046560
32768,4,1296430,1915320,0.046560
32768,5,1549830,2058600,0.046560
32768,6,1197250,2172560,0.046560
32768,7,1365350,2010630,0.046560
32768,8,1742180,1670990,0.046560
32768,9,1725340,1782950,0.046560
32768,10,1504800,2208910,0.046560
32768,11,1487230,2394860,0.046560
32768,12,1669550,1904550,0.046560
32768,13,1388840,2129780,0.046560
32768,14,1275860,2149990,0.046560
32768,15,1743180,1678190,0.046560
32768,16,1721080,2149090,0.046560
32768,17,1244270,2189290,0.046560
32768,18,1421920,1999360,0.046560
32768,19,1822310,1588300,0.046560
32768,20,1706780,2706590,0.046560
32768,21,1768530,1909810,0.046560
32768,22,1443670,2286780,0.046560
32768,23,1199430,2089620,0.046560
32768,24,1380220,2010600,0.046560
32768,25,1735410,1591450,0.046560
32768,26,1886980,1607420,0.046560
32768,27,1619900,2172680,0.046560
32768,28,1267440,2056980,0.046560
32768,29,1448890,1992850,0.046560
32768,30,1710510,1723110,0.046560
65536,1,2721000,3431500,0.076508
65536,2,2744150,3428080,0.076508
65536,3,2379560,3649810,0.076508
65536,4,2650170,3381210,0.076508
65536,5,2373080,3638180,0.076508
65536,6,2629060,3447110,0.076508
65536,7,2550860,3637100,0.076508
65536,8,2766210,3407850,0.076508
65536,9,2211100,3777340,0.076508
65536,10,2663360,3270280,0.076508
65536,11,2734580,3361830,0.076508
65536,12,2674920,3380850,0.076508
65536,13,2581700,3404720,0.076508
65536,14,2651260,3539600,0.076508
65536,15,2267540,3620410,0.076508
65536,16,2861300,3389050,0.076508
65536,17,2629900,3390080,0.076508
65536,18,2600670,3407660,0.076508
65536,19,2398840,3719040,0.076508
65536,20,2666820,3344970,0.076508
65536,21,2642100,3476280,0.076508
65536,22,2451890,3592180,0.076508
