size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,2337400,816600,0.008460
1024,2,376900,263800,0.008460
1024,3,343400,230600,0.008460
1024,4,421700,309500,0.008460
1024,5,389100,246300,0.008460
1024,6,483900,262500,0.008460
1024,7,550300,297600,0.008460
1024,8,350300,242800,0.008460
1024,9,409200,239500,0.008460
1024,10,492300,264700,0.008460
1024,11,347100,248100,0.008460
1024,12,338300,240500,0.008460
1024,13,350800,233400,0.008460
1024,14,339300,236200,0.008460
1024,15,369600,262000,0.008460
2048,1,529700,306500,0.008500
2048,2,519000,346100,0.008500
2048,3,406900,292000,0.008500
2048,4,406000,299000,0.008500
2048,5,369600,286700,0.008500
2048,6,511100,291400,0.008500
2048,7,386900,283300,0.008500
2048,8,373300,299800,0.008500
2048,9,374900,284000,0.008500
2048,10,397700,288600,0.008500
2048,11,464000,287700,0.008500
2048,12,394000,370600,0.008500
2048,13,451200,512200,0.008500
2048,14,399200,292800,0.008500
2048,15,716500,373300,0.008500
4096,1,788400,668200,0.008478
4096,2,493800,465300,0.008478
4096,3,524800,446400,0.008478
4096,4,475600,1207600,0.008478
4096,5,1286100,557300,0.008478
4096,6,529600,937400,0.008478
4096,7,571000,700900,0.008478
4096,8,483000,650400,0.008478
4096,9,574200,397400,0.008478
4096,10,474600,419000,0.008478
4096,11,476100,403100,0.008478
4096,12,462800,398600,0.008478
4096,13,451600,483100,0.008478
4096,14,557900,491500,0.008478
4096,15,471200,847500,0.008478
8192,1,775100,717900,0.008633
8192,2,629600,621200,0.008633
8192,3,1027000,829800,0.008633
8192,4,584300,606400,0.008633
8192,5,2103100,770000,0.008633
8192,6,1592200,862900,0.008633
8192,7,3282900,1061100,0.008633
8192,8,912800,858100,0.008633
8192,9,650800,631700,0.008633
8192,10,631600,879600,0.008633
8192,11,854100,601900,0.008633
8192,12,594200,580000,0.008633
8192,13,564800,577800,0.008633
8192,14,822400,672800,0.008633
8192,15,651400,721500,0.008633
16384,1,1677200,1525500,0.008587
16384,2,1023800,1012500,0.008587
16384,3,877200,1186400,0.008587
16384,4,857100,2029800,0.008587
16384,5,1192600,1115600,0.008587
