size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,1532610,1765610,0.012867
1024,2,838390,852390,0.012867
1024,3,753360,521770,0.012867
1024,4,599070,449110,0.012867
1024,5,488740,409370,0.012867
1024,6,413480,454100,0.012867
1024,7,420990,383300,0.012867
1024,8,436370,529100,0.012867
1024,9,425660,372270,0.012867
1024,10,462080,428750,0.012867
1024,11,434020,330860,0.012867
1024,12,420350,370110,0.012867
1024,13,391360,345550,0.012867
1024,14,450250,361900,0.012867
1024,15,473220,399700,0.012867
1024,16,437970,407510,0.012867
1024,17,374180,330390,0.012867
1024,18,344710,359650,0.012867
1024,19,357050,356100,0.012867
1024,20,353570,339920,0.012867
1024,21,390860,433030,0.012867
1024,22,316410,338240,0.012867
1024,23,333700,420180,0.012867
1024,24,328920,315530,0.012867
1024,25,314650,404920,0.012867
1024,26,316540,306320,0.012867
1024,27,297700,312720,0.012867
1024,28,301200,297740,0.012867
1024,29,267300,322210,0.012867
1024,30,278740,324180,0.012867
2048,1,659530,557830,0.017046
2048,2,552040,569500,0.017046
2048,3,525590,572700,0.017046
2048,4,511050,539020,0.017046
2048,5,577020,557960,0.017046
2048,6,608610,549890,0.017046
2048,7,629540,570500,0.017046
2048,8,527870,549220,0.017046
2048,9,489040,520470,0.017046
2048,10,564710,510840,0.017046
2048,11,504530,572500,0.017046
2048,12,519790,530870,0.017046
2048,13,585070,531980,0.017046
2048,14,547070,575150,0.017046
2048,15,518860,545050,0.017046
2048,16,778220,534360,0.017046
2048,17,531550,581140,0.017046
2048,18,504450,569610,0.017046
2048,19,533030,562850,0.017046
2048,20,537040,578230,0.017046
2048,21,513430,588810,0.017046
2048,22,533000,648840,0.017046
2048,23,520520,615270,0.017046
2048,24,527880,760290,0.017046
2048,25,513860,558570,0.017046
2048,26,576850,552420,0.017046
2048,27,495530,569460,0.017046
2048,28,550030,519340,0.017046
2048,29,513680,567630,0.017046
2048,30,502430,689300,0.017046
4096,1,1213180,1344870,0.029671
4096,2,986560,1082680,0.029671
4096,3,1019550,1541980,0.029671
4096,4,961260,988320,0.029671
4096,5,868290,963450,0.029671
4096,6,1208530,1019270,0.029671
4096,7,881340,977230,0.029671
4096,8,835530,1333210,0.029671
4096,9,856670,914140,0.029671
4096,10,895300,942690,0.029671
4096,11,1163470,1006840,0.029671
4096,12,893540,949370,0.029671
4096,13,856770,1099290,0.029671
4096,14,1082300,960060,0.029671
4096,15,878180,987480,0.029671
4096,16,908700,1257380,0.029671
4096,17,921050,1021150,0.029671
4096,18,909650,996820,0.029671
4096,19,1238970,984470,0.029671
4096,20,939990,1045990,0.029671
4096,21,938380,1333510,0.029671
4096,22,912260,1041550,0.029671
4096,23,944870,1067670,0.029671
4096,24,1031300,1365610,0.029671
4096,25,938300,1038940,0.029671
4096,26,908880,970740,0.029671
4096,27,1236380,956230,0.029671
4096,28,966880,1031450,0.029671
4096,29,943910,1356110,0.029671
4096,30,923890,995140,0.029671
8192,1,1785990,1914030,0.051355
8192,2,2186760,1918960,0.051355
8192,3,2305180,1901830,0.051355
8192,4,1797260,2215600,0.051355
8192,5,1702430,1904210,0.051355
8192,6,2070970,1834650,0.051355
8192,7,2184640,1821390,0.051355
8192,8,1745860,2329070,0.051355
8192,9,1765760,2257270,0.051355
8192,10,1807970,1859680,0.051355
8192,11,2199100,2591520,0.051355
8192,12,1799500,2348010,0.051355
8192,13,1723580,1853500,0.051355
8192,14,2215740,1912460,0.051355
8192,15,1797530,2201810,0.051355
8192,16,1743280,2305460,0.051355
8192,17,1781030,1821680,0.051355
8192,18,2123690,1831970,0.051355
8192,19,2153010,1871390,0.051355
