size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,1097600,1447800,0.017065
1024,2,778400,889850,0.017065
1024,3,738840,646220,0.017065
1024,4,659250,517000,0.017065
1024,5,559510,523360,0.017065
1024,6,526340,706100,0.017065
1024,7,547230,548260,0.017065
1024,8,660180,493120,0.017065
1024,9,569360,566600,0.017065
1024,10,545530,542030,0.017065
1024,11,723950,477800,0.017065
1024,12,629220,530490,0.017065
1024,13,588210,567680,0.017065
1024,14,564790,493590,0.017065
1024,15,563710,545960,0.017065
1024,16,611660,486240,0.017065
1024,17,464540,481970,0.017065
1024,18,485580,509990,0.017065
1024,19,490940,523650,0.017065
1024,20,497170,528620,0.017065
1024,21,511770,512750,0.017065
1024,22,513740,546210,0.017065
1024,23,479950,503730,0.017065
1024,24,456590,545010,0.017065
1024,25,511080,500400,0.017065
1024,26,469900,487530,0.017065
1024,27,462230,464780,0.017065
1024,28,537720,587810,0.017065
1024,29,491140,508920,0.017065
1024,30,519860,549910,0.017065
2048,1,985570,920300,0.025383
2048,2,937150,896440,0.025383
2048,3,883130,928540,0.025383
2048,4,886790,1136440,0.025383
2048,5,1545810,1251400,0.025383
2048,6,1093070,1184720,0.025383
2048,7,912350,1183510,0.025383
2048,8,986440,978150,0.025383
2048,9,783430,822430,0.025383
2048,10,820770,873550,0.025383
2048,11,810660,832350,0.025383
2048,12,794320,798890,0.025383
2048,13,740640,792670,0.025383
2048,14,728070,992990,0.025383
2048,15,1003680,792060,0.025383
2048,16,791240,794650,0.025383
2048,17,774510,803130,0.025383
2048,18,735550,778580,0.025383
2048,19,747460,810830,0.025383
2048,20,776470,789310,0.025383
2048,21,770200,795970,0.025383
2048,22,761550,1007170,0.025383
2048,23,887550,868670,0.025383
2048,24,840530,820500,0.025383
2048,25,898860,1221010,0.025383
2048,26,768720,831610,0.025383
2048,27,850990,888450,0.025383
2048,28,846360,813040,0.025383
2048,29,751780,846280,0.025383
2048,30,749170,788100,0.025383
4096,1,1901260,1612780,0.042543
4096,2,1483790,1543320,0.042543
4096,3,1586180,1518020,0.042543
4096,4,1489720,1653940,0.042543
4096,5,1717510,1708040,0.042543
4096,6,1984160,1660440,0.042543
4096,7,1546800,1631620,0.042543
4096,8,1563920,1672620,0.042543
4096,9,1572370,1612520,0.042543
4096,10,1605150,1647000,0.042543
4096,11,1843560,1657470,0.042543
4096,12,1495190,1642290,0.042543
4096,13,1622260,1548520,0.042543
4096,14,1523530,1551740,0.042543
4096,15,1454170,1543260,0.042543
4096,16,1485820,1879990,0.042543
4096,17,1468600,1544850,0.042543
4096,18,1525270,1529790,0.042543
4096,19,1504000,1521880,0.042543
4096,20,1576140,1543050,0.042543
4096,21,1434930,1841140,0.042543
4096,22,2128630,1512570,0.042543
4096,23,1455880,1576470,0.042543
4096,24,1601950,1489520,0.042543
4096,25,1513940,1574050,0.042543
4096,26,1549870,1663990,0.042543
4096,27,1870700,1531170,0.042543
4096,28,1482370,1583520,0.042543
4096,29,1499940,1509330,0.042543
4096,30,1441840,1486860,0.042543
8192,1,2879680,3465380,0.080553
8192,2,3001600,2961360,0.080553
8192,3,3086900,3036850,0.080553
8192,4,3381810,3083470,0.080553
8192,5,2980000,2993090,0.080553
8192,6,3109410,3244940,0.080553
8192,7,2942520,3208190,0.080553
8192,8,2891790,3296680,0.080553
8192,9,3152470,3174790,0.080553
8192,10,2915360,3059550,0.080553
8192,11,3299980,3085030,0.080553
8192,12,2975970,3269980,0.080553
8192,13,2954230,3466460,0.080553
8192,14,3040210,3045750,0.080553
8192,15,2964370,3004320,0.080553
8192,16,3338100,3015410,0.080553
8192,17,2883200,3029200,0.080553
8192,18,3003300,3396100,0.080553
8192,19,3310370,3272020,0.080553
8192,20,2960430,3144800,0.080553
8192,21,3475620,3228640,0.080553
8192,22,3005450,3049210,0.080553
8192,23,3290350,3044200,0.080553
8192,24,3037620,3158280,0.080553
8192,25,2932900,3418050,0.080553
8192,26,2991010,3227840,0.080553
8192,27,3264310,3379440,0.080553
8192,28,3638850,3487170,0.080553
8192,29,3301100,3451760,0.080553
8192,30,3166650,3412900,0.080553
16384,1,7053510,6390510,0.161166
16384,2,6569120,6967590,0.161166
16384,3,6561820,7155340,0.161166
16384,4,6137860,6983660,0.161166
16384,5,5922820,6169670,0.161166
16384,6,6707100,6789850,0.161166
16384,7,6728040,6298320,0.161166
16384,8,5744410,6698620,0.161166
16384,9,6066900,6745480,0.161166
16384,10,5680190,6094690,0.161166
16384,11,6557340,5985360,0.161166
16384,12,6362000,6198490,0.161166
16384,13,5814990,6600200,0.161166
16384,14,5855290,6599420,0.161166
16384,15,5861220,6197340,0.161166
16384,16,7293840,6620960,0.161166
16384,17,6672480,6546450,0.161166
16384,18,6248590,7002580,0.161166
16384,19,6092540,7063520,0.161166
16384,20,6189780,6556930,0.161166
16384,21,6608100,6029930,0.161166
16384,22,6402940,5982170,0.161166
16384,23,5704540,6788700,0.161166
16384,24,5740080,6822090,0.161166
16384,25,5713350,6515930,0.161166
16384,26,8375150,6339810,0.161166
16384,27,6436100,6058260,0.161166
16384,28,5783320,6810410,0.161166
