size_bytes,enc_min_ns,enc_median_ns,enc_max_ns,dec_min_ns,dec_median_ns,dec_max_ns
1024,160500,170300,1200300,670800,724600,1204900
2048,190300,197000,540800,709400,826800,1321100
4096,234700,265800,856200,722900,843300,1712400
8192,333200,360900,4237100,891500,1008300,1626800
16384,623200,688900,2039400,1323600,1521900,4468100
32768,1121900,1293700,2992600,2025800,2396700,5289600
65536,1917900,2110000,5184300,3319800,3637700,6939900
131072,4306800,5016400,10038000,7080900,8160500,11251500
262144,8785800,9530800,13797000,13803600,17390900,18632900
524288,15124700,15990200,19660200,28666200,30284000,35507200
1048576,31314200,32320200,35371400,52457300,56024200,61603400
