size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,1361190,2215630,0.016940
1024,2,926000,1399330,0.016940
1024,3,827060,992060,0.016940
1024,4,465730,877360,0.016940
1024,5,430270,972950,0.016940
1024,6,381420,865890,0.016940
1024,7,386240,916300,0.016940
1024,8,456280,913450,0.016940
1024,9,447250,876190,0.016940
1024,10,376080,1063040,0.016940
1024,11,404090,889950,0.016940
1024,12,345770,977030,0.016940
1024,13,402050,871230,0.016940
1024,14,428870,1053840,0.016940
1024,15,356430,1108690,0.016940
1024,16,602790,826760,0.016940
1024,17,198540,844360,0.016940
1024,18,174320,823810,0.016940
1024,19,193260,718500,0.016940
1024,20,162460,679150,0.016940
1024,21,194990,754090,0.016940
1024,22,157980,706290,0.016940
1024,23,144980,686090,0.016940
1024,24,145690,640590,0.016940
1024,25,205230,1091620,0.016940
1024,26,180120,684090,0.016940
1024,27,173080,640780,0.016940
1024,28,144880,784550,0.016940
1024,29,249220,724830,0.016940
1024,30,167870,756990,0.016940
2048,1,167540,628990,0.012723
2048,2,160000,612250,0.012723
2048,3,151240,646570,0.012723
2048,4,155750,687880,0.012723
2048,5,168080,603160,0.012723
2048,6,171180,675460,0.012723
2048,7,249310,994030,0.012723
2048,8,196360,631570,0.012723
2048,9,170570,644730,0.012723
2048,10,199870,623850,0.012723
2048,11,163270,656750,0.012723
2048,12,165150,627870,0.012723
2048,13,157450,675170,0.012723
2048,14,208950,915510,0.012723
2048,15,190360,645960,0.012723
2048,16,137210,625040,0.012723
2048,17,165290,595670,0.012723
2048,18,163850,598920,0.012723
2048,19,154850,592110,0.012723
2048,20,148070,650190,0.012723
2048,21,165060,1049270,0.012723
2048,22,263420,979990,0.012723
2048,23,181710,692610,0.012723
2048,24,175860,652540,0.012723
2048,25,180040,777300,0.012723
2048,26,173620,674630,0.012723
2048,27,152980,703080,0.012723
2048,28,286280,1012910,0.012723
2048,29,156930,641590,0.012723
2048,30,170440,646090,0.012723
4096,1,254460,800140,0.017042
4096,2,201870,690250,0.017042
4096,3,204490,752490,0.017042
4096,4,227870,967430,0.017042
4096,5,199940,736720,0.017042
4096,6,182180,698150,0.017042
4096,7,212330,671170,0.017042
4096,8,266410,697700,0.017042
4096,9,255090,1298920,0.017042
4096,10,249910,780780,0.017042
4096,11,251370,711180,0.017042
4096,12,227610,710990,0.017042
4096,13,226110,1049150,0.017042
4096,14,220240,698370,0.017042
4096,15,250550,712020,0.017042
4096,16,187030,701070,0.017042
4096,17,220320,1143150,0.017042
4096,18,213620,699860,0.017042
4096,19,248460,776070,0.017042
4096,20,249190,757050,0.017042
4096,21,307060,909380,0.017042
4096,22,461780,854030,0.017042
4096,23,243500,722230,0.017042
4096,24,230300,703930,0.017042
4096,25,231010,859740,0.017042
4096,26,298760,913380,0.017042
4096,27,204400,684400,0.017042
4096,28,226180,719660,0.017042
4096,29,211450,699520,0.017042
4096,30,246260,1024270,0.017042
8192,1,705720,900110,0.021361
8192,2,346540,998260,0.021361
8192,3,326480,1286400,0.021361
8192,4,347580,875210,0.021361
8192,5,430560,1449080,0.021361
8192,6,325300,924320,0.021361
8192,7,307260,1290300,0.021361
8192,8,364100,921830,0.021361
8192,9,315760,842730,0.021361
8192,10,387300,1228050,0.021361
8192,11,312530,877190,0.021361
8192,12,394640,1267410,0.021361
8192,13,316590,902570,0.021361
