size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,951050,1343150,0.008607
1024,2,496420,413070,0.008607
1024,3,456380,142250,0.008607
1024,4,263460,142090,0.008607
1024,5,180080,176520,0.008607
1024,6,209870,220520,0.008607
1024,7,200030,161800,0.008607
1024,8,205480,150410,0.008607
1024,9,172750,124940,0.008607
1024,10,189210,126480,0.008607
1024,11,186990,164180,0.008607
1024,12,254380,137760,0.008607
1024,13,180210,150960,0.008607
1024,14,203120,168370,0.008607
1024,15,353490,140290,0.008607
1024,16,245540,255750,0.008607
1024,17,129230,441260,0.008607
1024,18,142130,135050,0.008607
1024,19,131570,158520,0.008607
1024,20,177380,140240,0.008607
1024,21,255940,212430,0.008607
1024,22,117620,149810,0.008607
1024,23,123310,133830,0.008607
1024,24,120320,211030,0.008607
1024,25,137450,136650,0.008607
1024,26,150440,141080,0.008607
1024,27,156480,146330,0.008607
1024,28,117240,144500,0.008607
1024,29,101520,147670,0.008607
1024,30,102630,135370,0.008607
2048,1,158750,196600,0.004234
2048,2,189660,190160,0.004234
2048,3,186710,226170,0.004234
2048,4,135680,161170,0.004234
2048,5,171120,210130,0.004234
2048,6,164470,175520,0.004234
2048,7,157110,178850,0.004234
2048,8,191290,175190,0.004234
2048,9,141230,174800,0.004234
2048,10,138070,160390,0.004234
2048,11,181830,214800,0.004234
2048,12,158300,164650,0.004234
2048,13,153510,162950,0.004234
2048,14,128920,167360,0.004234
2048,15,141040,194250,0.004234
2048,16,121190,159440,0.004234
2048,17,142650,175410,0.004234
2048,18,151250,166850,0.004234
2048,19,126570,180920,0.004234
2048,20,138580,164290,0.004234
2048,21,157830,173070,0.004234
2048,22,138510,162190,0.004234
2048,23,150650,195680,0.004234
2048,24,127320,170760,0.004234
2048,25,131640,153050,0.004234
2048,26,132840,211210,0.004234
2048,27,127800,218660,0.004234
2048,28,152350,190750,0.004234
2048,29,148100,210120,0.004234
2048,30,145720,250140,0.004234
4096,1,268830,380730,0.008559
4096,2,268890,313380,0.008559
4096,3,290570,332270,0.008559
4096,4,247820,352470,0.008559
4096,5,261090,367820,0.008559
4096,6,281020,365540,0.008559
4096,7,256780,345850,0.008559
4096,8,327990,333610,0.008559
4096,9,252270,365750,0.008559
4096,10,263510,405260,0.008559
4096,11,350610,308160,0.008559
4096,12,271210,359430,0.008559
4096,13,250090,336450,0.008559
4096,14,241510,315600,0.008559
4096,15,257650,413680,0.008559
4096,16,262310,327930,0.008559
4096,17,261220,357180,0.008559
4096,18,298000,348580,0.008559
4096,19,257220,305720,0.008559
4096,20,254720,353150,0.008559
4096,21,274260,302960,0.008559
4096,22,233360,291890,0.008559
4096,23,408710,342140,0.008559
4096,24,274930,453680,0.008559
4096,25,319960,676150,0.008559
4096,26,511740,482130,0.008559
4096,27,324640,419230,0.008559
4096,28,265140,358000,0.008559
4096,29,259460,344150,0.008559
4096,30,233250,406880,0.008559
8192,1,500890,619960,0.017170
8192,2,679290,749680,0.017170
8192,3,898710,756500,0.017170
8192,4,496740,593960,0.017170
8192,5,465850,832000,0.017170
8192,6,996610,634970,0.017170
8192,7,509170,632650,0.017170
8192,8,508390,1126860,0.017170
8192,9,485660,642930,0.017170
8192,10,399100,719630,0.017170
8192,11,684320,520960,0.017170
8192,12,401580,537580,0.017170
8192,13,496360,951300,0.017170
8192,14,423220,551450,0.017170
8192,15,401240,620430,0.017170
8192,16,829150,589330,0.017170
8192,17,407570,521350,0.017170
8192,18,482440,842120,0.017170
8192,19,449850,584410,0.017170
8192,20,424410,552130,0.017170
8192,21,723700,529790,0.017170
8192,22,431660,566130,0.017170
8192,23,463420,929450,0.017170
8192,24,443370,546620,0.017170
8192,25,404150,692230,0.017170
8192,26,717300,551270,0.017170
8192,27,427480,578930,0.017170
8192,28,515010,904720,0.017170
8192,29,426790,541900,0.017170
8192,30,423000,671990,0.017170
16384,1,936470,1768810,0.033952
16384,2,883760,1049000,0.033952
16384,3,849870,2255650,0.033952
16384,4,874980,1837740,0.033952
16384,5,905630,1020390,0.033952
16384,6,1222110,1584260,0.033952
16384,7,868370,1713210,0.033952
16384,8,824200,1104620,0.033952
16384,9,962800,1814950,0.033952
16384,10,822120,1630850,0.033952
16384,11,809740,1057920,0.033952
16384,12,1049110,1921590,0.033952
16384,13,890310,1701230,0.033952
16384,14,792840,1060910,0.033952
16384,15,1020050,1780390,0.033952
16384,16,923540,1749510,0.033952
16384,17,794290,1079640,0.033952
16384,18,849970,1968520,0.033952
16384,19,826670,1706980,0.033952
16384,20,835850,1071640,0.033952
16384,21,997540,1739600,0.033952
16384,22,821610,1729850,0.033952
16384,23,832620,1052260,0.033952
16384,24,1065260,1825730,0.033952
16384,25,800040,1665070,0.033952
16384,26,856320,1079710,0.033952
16384,27,1124640,1718090,0.033952
16384,28,850660,1672010,0.033952
16384,29,864970,1026860,0.033952
16384,30,1001460,1773210,0.033952
32768,1,1784190,2719660,0.059606
32768,2,1750620,2620250,0.059606
32768,3,2035870,2271400,0.059606
32768,4,2173180,2238920,0.059606
32768,5,2158370,2589280,0.059606
32768,6,1554740,2747090,0.059606
32768,7,1633990,2711920,0.059606
32768,8,2341030,2398840,0.059606
32768,9,2451260,2361040,0.059606
32768,10,2397140,2349630,0.059606
32768,11,2383910,2480430,0.059606
32768,12,2291960,2865020,0.059606
32768,13,1711710,2944870,0.059606
32768,14,2031460,2533960,0.059606
32768,15,2290290,2160760,0.059606
32768,16,2138910,2705870,0.059606
32768,17,1680920,2635530,0.059606
32768,18,2527790,2259420,0.059606
32768,19,2329490,2334630,0.059606
32768,20,2202530,2466460,0.059606
32768,21,1843290,2300910,0.059606
32768,22,2049030,2516030,0.059606
32768,23,1604800,2670710,0.059606
32768,24,1774280,2469620,0.059606
32768,25,2191580,2073810,0.059606
32768,26,2051890,2209050,0.059606
32768,27,2045000,2555900,0.059606
32768,28,1714550,2759460,0.059606
32768,29,2096210,2638560,0.059606
32768,30,1578310,2588710,0.059606
65536,1,3964880,4731070,0.105979
65536,2,3643370,4578100,0.105979
65536,3,3800850,4541970,0.105979
65536,4,3912790,4320660,0.105979
65536,5,3743540,5025670,0.105979
65536,6,4145390,4706880,0.105979
65536,7,3627100,4543400,0.105979
65536,8,3766150,4506170,0.105979
65536,9,3635200,4499010,0.105979
65536,10,3625310,4426260,0.105979
65536,11,3928620,4211130,0.105979
65536,12,4063170,4653350,0.105979
65536,13,3565890,4636930,0.105979
