size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,1292332,1416800,11796,6717,4.153985e-05,INTEGRATION
1024,2,1399292,1571836,11632,6881,4.153985e-05,INTEGRATION
1024,3,1409396,1556608,11632,6881,4.153985e-05,INTEGRATION
1024,4,1473850,1536726,11632,6717,4.153985e-05,INTEGRATION
1024,5,1432411,1560802,11796,6717,4.153985e-05,INTEGRATION
2048,1,1599723,1669294,21954,11960,4.038589e-05,INTEGRATION
2048,2,1463476,1561897,21790,11796,4.038589e-05,INTEGRATION
2048,3,1420036,1705776,21790,11960,4.038589e-05,INTEGRATION
2048,4,1518766,1677137,21790,11960,4.038589e-05,INTEGRATION
2048,5,1447993,1622570,21790,11960,4.038589e-05,INTEGRATION
4096,1,1752587,1902268,42106,22446,4.331729e-05,INTEGRATION
4096,2,1435876,1717902,41943,22446,4.331729e-05,INTEGRATION
4096,3,1491855,1668591,41943,22446,4.331729e-05,INTEGRATION
4096,4,1469113,1656366,41943,22446,4.331729e-05,INTEGRATION
4096,5,1534093,1750372,42106,22446,4.331729e-05,INTEGRATION
8192,1,2071480,2309859,66928,43909,6.524637e-05,INTEGRATION
8192,2,1857492,2586621,85360,43909,6.524637e-05,INTEGRATION
8192,3,1758104,2439390,85196,43909,6.524637e-05,INTEGRATION
8192,4,1770670,2286848,85032,43909,6.524637e-05,INTEGRATION
8192,5,1716538,2351495,85032,43909,6.524637e-05,INTEGRATION
16384,1,2424800,2908132,118222,42815,1.032671e-04,INTEGRATION
16384,2,2168828,2870983,120353,41452,1.032671e-04,INTEGRATION
16384,3,2157954,3248670,121335,42488,1.032671e-04,INTEGRATION
16384,4,2302116,3100593,118549,39415,1.032671e-04,INTEGRATION
16384,5,2200833,3084037,117567,42282,1.032671e-04,INTEGRATION
32768,1,3379551,4774920,94027,51007,1.909186e-04,INTEGRATION
32768,2,3364588,4406092,152136,36103,1.909186e-04,INTEGRATION
32768,3,3312252,4485263,157133,37571,1.909186e-04,INTEGRATION
32768,4,3326332,4262871,39058,39414,1.909186e-04,INTEGRATION
32768,5,3312102,4255073,46009,39578,1.909186e-04,INTEGRATION
65536,1,5445870,7400568,53346,38472,3.575996e-04,INTEGRATION
65536,2,5380833,7944977,136748,60222,3.575996e-04,INTEGRATION
65536,3,5362303,7307221,134606,49081,3.575996e-04,INTEGRATION
65536,4,5338556,7443403,77601,53260,3.575996e-04,INTEGRATION
65536,5,5416900,7334711,51388,46132,3.575996e-04,INTEGRATION
131072,1,9954633,13567812,100744,119627,6.835287e-04,INTEGRATION
131072,2,9769255,13596017,113604,69110,6.835287e-04,INTEGRATION
131072,3,9737326,13504990,147876,50188,6.835287e-04,INTEGRATION
131072,4,9719578,13875033,126466,69110,6.835287e-04,INTEGRATION
131072,5,9743735,13608055,100743,54242,6.835287e-04,INTEGRATION
262144,1,18508633,26544293,252297,69246,1.352902e-03,INTEGRATION
262144,2,18011740,26012261,114629,34634,1.352902e-03,INTEGRATION
262144,3,17833276,26516338,191621,61259,1.352902e-03,INTEGRATION
262144,4,18189086,25984825,63663,96197,1.352902e-03,INTEGRATION
262144,5,18624916,26436490,225209,42622,1.352902e-03,INTEGRATION
