size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,13409446,14551261,73728,68812,6.205780e-05,INTEGRATION
1024,2,14644215,14961084,72089,67174,6.205780e-05,INTEGRATION
1024,3,16104246,15519161,73728,68812,6.205780e-05,INTEGRATION
1024,4,15105661,15219223,72089,67174,6.205780e-05,INTEGRATION
1024,5,15965261,16671823,73728,68812,6.205780e-05,INTEGRATION
2048,1,16399292,17022300,140902,132710,4.610069e-05,INTEGRATION
2048,2,16209107,16929538,140902,132710,4.610069e-05,INTEGRATION
2048,3,16852923,17525530,142540,132710,4.610069e-05,INTEGRATION
2048,4,15990607,16869730,142540,132710,4.610069e-05,INTEGRATION
2048,5,17097192,16298238,142540,132710,4.610069e-05,INTEGRATION
4096,1,18798553,18633915,281804,263782,6.690217e-05,INTEGRATION
4096,2,18573753,18566276,281804,263782,6.690217e-05,INTEGRATION
4096,3,18359753,18465623,281804,263782,6.690217e-05,INTEGRATION
4096,4,18414730,18549107,281804,263782,6.690217e-05,INTEGRATION
4096,5,18354830,18526338,281804,263782,6.690217e-05,INTEGRATION
8192,1,26688061,25562346,561971,519372,1.059683e-04,INTEGRATION
8192,2,25424777,25722069,560332,519372,1.059683e-04,INTEGRATION
8192,3,25534800,25560338,560332,519372,1.059683e-04,INTEGRATION
8192,4,25320684,25774330,560332,519372,1.059683e-04,INTEGRATION
8192,5,25316484,25556523,560332,519372,1.059683e-04,INTEGRATION
16384,1,39788246,40117469,513728,437544,2.027215e-04,INTEGRATION
16384,2,40275084,40199723,513728,437544,2.027215e-04,INTEGRATION
16384,3,39933138,39879569,513728,435908,2.027215e-04,INTEGRATION
16384,4,40438284,40625138,515395,435906,2.027215e-04,INTEGRATION
16384,5,39408130,40640284,512089,437553,2.027215e-04,INTEGRATION
32768,1,68346146,68257015,206210,769320,3.828237e-04,INTEGRATION
32768,2,67789669,68325384,232016,735323,3.828237e-04,INTEGRATION
32768,3,71480584,68477569,217679,718939,3.828237e-04,INTEGRATION
32768,4,67931015,69043292,196377,687811,3.828237e-04,INTEGRATION
32768,5,67898115,68664984,190007,738601,3.828237e-04,INTEGRATION
65536,1,124117538,125630453,779240,565843,7.533569e-04,INTEGRATION
65536,2,124263961,126216584,769410,528978,7.533569e-04,INTEGRATION
65536,3,124017684,125243915,741557,662098,7.533569e-04,INTEGRATION
65536,4,124131538,128020246,915228,642432,7.533569e-04,INTEGRATION
65536,5,123714376,128516130,915228,731228,7.533569e-04,INTEGRATION
131072,1,236159692,241735038,938072,193101,1.453905e-03,INTEGRATION
131072,2,234180092,241700161,1035163,820520,1.453905e-03,INTEGRATION
131072,3,237257561,240325938,1105591,220957,1.453905e-03,INTEGRATION
131072,4,234825100,242392530,1072845,732456,1.453905e-03,INTEGRATION
131072,5,235755846,241446561,768908,841819,1.453905e-03,INTEGRATION
262144,1,462266338,473268892,951191,591564,2.332382e-03,INTEGRATION
262144,2,458641292,471399223,985597,794740,2.332382e-03,INTEGRATION
262144,3,459484246,476036307,985597,616144,2.332382e-03,INTEGRATION
262144,4,456771530,473157392,990514,768540,2.332382e-03,INTEGRATION
262144,5,459882430,472604192,965936,739009,2.332382e-03,INTEGRATION
