size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,13682246,11859907,16384,9830,3.805594e-05,INTEGRATION
1024,2,12702615,12695177,16384,9830,3.805594e-05,INTEGRATION
1024,3,13434284,13651407,16384,9830,3.805594e-05,INTEGRATION
1024,4,13898607,13906307,16384,9830,3.805594e-05,INTEGRATION
1024,5,14422430,14676623,16384,9830,3.805594e-05,INTEGRATION
2048,1,15673576,15130677,27852,16384,2.696831e-05,INTEGRATION
2048,2,16249723,15343730,27852,16384,2.696831e-05,INTEGRATION
2048,3,15180369,14662092,26214,14745,2.696831e-05,INTEGRATION
2048,4,14629323,14074400,26214,14745,2.696831e-05,INTEGRATION
2048,5,14688400,15249823,26214,14745,2.696831e-05,INTEGRATION
4096,1,15924461,14762338,47513,27852,2.804414e-05,INTEGRATION
4096,2,14636215,14663838,45875,26214,2.804414e-05,INTEGRATION
4096,3,15243715,14538638,47513,26214,2.804414e-05,INTEGRATION
4096,4,14834992,15780300,45875,27852,2.804414e-05,INTEGRATION
4096,5,15431015,14592653,45875,27852,2.804414e-05,INTEGRATION
8192,1,16037015,15142684,88473,47513,2.769760e-05,INTEGRATION
8192,2,15509946,15667877,88473,47513,2.769760e-05,INTEGRATION
8192,3,15106338,15358923,88473,47513,2.769760e-05,INTEGRATION
8192,4,14914584,15578430,88473,49152,2.769760e-05,INTEGRATION
8192,5,14937053,14764638,88473,47513,2.769760e-05,INTEGRATION
16384,1,17304223,15914492,188416,108953,2.923880e-05,INTEGRATION
16384,2,15317107,15910123,186777,108953,2.923880e-05,INTEGRATION
16384,3,14851023,15266092,186777,108953,2.923880e-05,INTEGRATION
16384,4,14904523,15447876,186777,108953,2.923880e-05,INTEGRATION
16384,5,14913577,15408923,186777,107315,2.923880e-05,INTEGRATION
32768,1,19221053,16751053,342425,190873,3.350469e-05,INTEGRATION
32768,2,16134584,17125315,344064,190873,3.350469e-05,INTEGRATION
32768,3,15849823,16919969,344064,190873,3.350469e-05,INTEGRATION
32768,4,16078315,18094992,344064,190873,3.350469e-05,INTEGRATION
32768,5,14951138,16800061,342425,190873,3.350469e-05,INTEGRATION
65536,1,18139623,24632861,663552,354713,4.557480e-05,INTEGRATION
65536,2,16550615,25183146,663552,354713,4.557480e-05,INTEGRATION
65536,3,16152184,24979876,663552,354713,4.557480e-05,INTEGRATION
65536,4,16168892,25012830,663552,354713,4.557480e-05,INTEGRATION
65536,5,16136523,23902830,663552,354713,4.557480e-05,INTEGRATION
131072,1,21619446,33811900,665743,685670,7.981105e-05,INTEGRATION
131072,2,22886923,33450923,664099,685670,7.981105e-05,INTEGRATION
131072,3,23053046,31698207,665743,685670,7.981105e-05,INTEGRATION
131072,4,21177053,30830592,665744,685670,7.981105e-05,INTEGRATION
131072,5,21991884,32378030,665743,685670,7.981105e-05,INTEGRATION
262144,1,30105007,36570584,970894,777141,1.259867e-04,INTEGRATION
262144,2,32122092,36704730,900867,777140,1.259867e-04,INTEGRATION
262144,3,31691038,36365661,1149480,775503,1.259867e-04,INTEGRATION
262144,4,34621777,36942715,1061008,777140,1.259867e-04,INTEGRATION
262144,5,31231846,37254553,892251,777140,1.259867e-04,INTEGRATION
