size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,6113450,6031373,19660,14745,4.382440e-05,INTEGRATION
1024,2,6342957,6706938,19660,14745,4.382440e-05,INTEGRATION
1024,3,6863180,7048876,19660,14745,4.382440e-05,INTEGRATION
1024,4,7073923,7338184,19660,14745,4.382440e-05,INTEGRATION
1024,5,7601688,7935200,19660,15564,4.382440e-05,INTEGRATION
2048,1,8098034,7702953,39321,28672,2.753012e-05,INTEGRATION
2048,2,7371742,7477157,39321,27852,2.753012e-05,INTEGRATION
2048,3,7494703,7390150,39321,27852,2.753012e-05,INTEGRATION
2048,4,7278861,7545511,38502,27852,2.753012e-05,INTEGRATION
2048,5,7330323,7433815,38502,28672,2.753012e-05,INTEGRATION
4096,1,8292584,8244230,75366,55705,3.218044e-05,INTEGRATION
4096,2,8056876,8029200,75366,54886,3.218044e-05,INTEGRATION
4096,3,7793380,8364342,75366,55705,3.218044e-05,INTEGRATION
4096,4,8263415,8081419,75366,55705,3.218044e-05,INTEGRATION
4096,5,7978615,8471353,75366,55705,3.218044e-05,INTEGRATION
8192,1,11645326,8594257,150732,109772,4.797398e-05,INTEGRATION
8192,2,8368480,8706661,150732,109772,4.797398e-05,INTEGRATION
8192,3,8623107,8780476,150732,109772,4.797398e-05,INTEGRATION
8192,4,8332288,8791603,150732,109772,4.797398e-05,INTEGRATION
8192,5,8545307,8857092,150732,109772,4.797398e-05,INTEGRATION
16384,1,12232815,14474353,313753,235929,8.737622e-05,INTEGRATION
16384,2,10961788,14317292,313753,235929,8.737622e-05,INTEGRATION
16384,3,10915753,14191138,313753,235929,8.737622e-05,INTEGRATION
16384,4,10944492,14366076,313753,235929,8.737622e-05,INTEGRATION
16384,5,10917519,15406000,313753,235929,8.737622e-05,INTEGRATION
32768,1,16257907,22739911,296372,146255,1.511128e-04,INTEGRATION
32768,2,16516319,23746580,296372,146256,1.511128e-04,INTEGRATION
32768,3,16633150,20634938,296372,147075,1.511128e-04,INTEGRATION
32768,4,16242584,21540092,296372,147892,1.511128e-04,INTEGRATION
32768,5,16118861,21954803,297192,147074,1.511128e-04,INTEGRATION
65536,1,26792950,28911634,138096,214454,2.562718e-04,INTEGRATION
65536,2,26678861,28678876,136450,214454,2.562718e-04,INTEGRATION
65536,3,26825342,29001507,303744,220188,2.562718e-04,INTEGRATION
65536,4,26543907,28655365,308454,215272,2.562718e-04,INTEGRATION
65536,5,26632307,28513526,141366,240462,2.562718e-04,INTEGRATION
131072,1,47545523,51382892,284605,279776,4.657112e-04,INTEGRATION
131072,2,47591965,51554911,258921,259926,4.657112e-04,INTEGRATION
131072,3,47782019,51676061,379753,307022,4.657112e-04,INTEGRATION
131072,4,47754969,51555734,260636,415008,4.657112e-04,INTEGRATION
131072,5,50837488,51534257,263017,298830,4.657112e-04,INTEGRATION
262144,1,88859496,96661307,292098,356408,7.258627e-04,INTEGRATION
262144,2,89034919,97219800,634496,346577,7.258627e-04,INTEGRATION
262144,3,89370307,97011876,219169,195844,7.258627e-04,INTEGRATION
262144,4,89360826,96810907,292904,106523,7.258627e-04,INTEGRATION
262144,5,89675630,97148396,537830,384429,7.258627e-04,INTEGRATION
