size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,1287928,1233036,16547,8683,5.798082e-05,INTEGRATION
1024,2,1264186,1443857,16384,8683,5.798082e-05,INTEGRATION
1024,3,1485990,1481265,16547,8683,5.798082e-05,INTEGRATION
1024,4,1486347,1471350,16384,8847,5.798082e-05,INTEGRATION
1024,5,1501289,1494996,16384,8847,5.798082e-05,INTEGRATION
2048,1,1491901,1599030,26378,14090,3.553922e-05,INTEGRATION
2048,2,1455249,1561726,26214,13926,3.553922e-05,INTEGRATION
2048,3,1502923,1605347,26214,14090,3.553922e-05,INTEGRATION
2048,4,1534326,1549126,26214,13926,3.553922e-05,INTEGRATION
2048,5,1460477,1607529,26214,14090,3.553922e-05,INTEGRATION
4096,1,1480341,1818288,46366,24412,3.792644e-05,INTEGRATION
4096,2,1456513,1711655,46530,24412,3.792644e-05,INTEGRATION
4096,3,1432002,1667803,46366,24412,3.792644e-05,INTEGRATION
4096,4,1466440,1729806,46530,24412,3.792644e-05,INTEGRATION
4096,5,1437596,1664295,46366,24412,3.792644e-05,INTEGRATION
8192,1,1565329,2239981,90439,45383,4.999063e-05,INTEGRATION
8192,2,1409557,2518052,90275,45383,4.999063e-05,INTEGRATION
8192,3,1426231,2493880,90275,45383,4.999063e-05,INTEGRATION
8192,4,1470431,2676920,90275,45383,4.999063e-05,INTEGRATION
8192,5,1560093,2632939,90275,45383,4.999063e-05,INTEGRATION
16384,1,2099236,2691110,120798,44322,6.230153e-05,INTEGRATION
16384,2,1710698,2959482,119205,44322,6.230153e-05,INTEGRATION
16384,3,1642442,2678532,121168,44651,6.230153e-05,INTEGRATION
16384,4,1651288,2885661,122970,44649,6.230153e-05,INTEGRATION
16384,5,1603233,2481971,121118,106332,6.230153e-05,INTEGRATION
32768,1,2608414,3033015,181992,62711,8.551813e-05,INTEGRATION
32768,2,1955815,2951332,71482,60500,8.551813e-05,INTEGRATION
32768,3,1871230,2746279,147952,62712,8.551813e-05,INTEGRATION
32768,4,1844737,3428445,279682,125791,8.551813e-05,INTEGRATION
32768,5,1840962,3534603,269114,116575,8.551813e-05,INTEGRATION
65536,1,2435253,4300923,235656,118665,1.386818e-04,INTEGRATION
65536,2,2926296,4083612,130512,11844,1.386818e-04,INTEGRATION
65536,3,2295430,4076870,102535,85626,1.386818e-04,INTEGRATION
65536,4,2208750,4020858,140049,112399,1.386818e-04,INTEGRATION
65536,5,3092473,4155341,264657,123008,1.386818e-04,INTEGRATION
131072,1,3111106,7053894,272849,57103,2.546456e-04,INTEGRATION
131072,2,3050498,6964326,470192,56938,2.546456e-04,INTEGRATION
131072,3,2822012,7040362,236181,193090,2.546456e-04,INTEGRATION
131072,4,3385474,6937930,336463,43422,2.546456e-04,INTEGRATION
131072,5,2997499,7167710,774109,172815,2.546456e-04,INTEGRATION
262144,1,4758667,12667714,160902,40101,4.923161e-04,INTEGRATION
262144,2,4329310,12604350,166921,40117,4.923161e-04,INTEGRATION
262144,3,4673252,12567586,204873,69552,4.923161e-04,INTEGRATION
262144,4,4378886,12643042,350017,26789,4.923161e-04,INTEGRATION
262144,5,4458305,12662224,135879,149916,4.923161e-04,INTEGRATION
