size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,2763589,2658186,11141,6225,5.652896e-05,INTEGRATION
1024,2,2611380,2681347,11141,6225,5.652896e-05,INTEGRATION
1024,3,2680196,2824109,11141,6225,5.652896e-05,INTEGRATION
1024,4,2722318,2966603,11141,6553,5.652896e-05,INTEGRATION
1024,5,2836375,2975195,11141,6553,5.652896e-05,INTEGRATION
2048,1,2916578,3165889,21626,11796,4.383649e-05,INTEGRATION
2048,2,2783163,2919678,21299,11796,4.383649e-05,INTEGRATION
2048,3,2891700,3066610,21299,11796,4.383649e-05,INTEGRATION
2048,4,2855641,3352235,21299,11796,4.383649e-05,INTEGRATION
2048,5,2895963,3036209,21299,11468,4.383649e-05,INTEGRATION
4096,1,2828986,3416670,41615,21954,3.827628e-05,INTEGRATION
4096,2,2992566,3453416,41615,21954,3.827628e-05,INTEGRATION
4096,3,2817323,3053107,41615,21954,3.827628e-05,INTEGRATION
4096,4,2928535,3216927,41615,21954,3.827628e-05,INTEGRATION
4096,5,2837815,3473003,41615,21954,3.827628e-05,INTEGRATION
8192,1,3490160,3546609,84541,42926,4.089100e-05,INTEGRATION
8192,2,2874886,3303060,84213,42598,4.089100e-05,INTEGRATION
8192,3,2971575,3474375,84541,42926,4.089100e-05,INTEGRATION
8192,4,3074369,3507655,84541,42926,4.089100e-05,INTEGRATION
8192,5,2873193,3435120,84213,42926,4.089100e-05,INTEGRATION
16384,1,3815167,5030580,181862,103710,5.805704e-05,INTEGRATION
16384,2,3110850,5569704,181534,103710,5.805704e-05,INTEGRATION
16384,3,3479963,4811027,181534,103710,5.805704e-05,INTEGRATION
16384,4,3307864,5332356,181862,103710,5.805704e-05,INTEGRATION
16384,5,3213150,4705932,181534,103710,5.805704e-05,INTEGRATION
32768,1,4966215,5788738,209481,62679,9.052052e-05,INTEGRATION
32768,2,3890490,6334738,216197,58255,9.052052e-05,INTEGRATION
32768,3,4074207,6685267,209151,61941,9.052052e-05,INTEGRATION
32768,4,3845810,6963300,209478,61941,9.052052e-05,INTEGRATION
32768,5,3929327,6026029,216198,61941,9.052052e-05,INTEGRATION
65536,1,5863366,7372241,75460,93647,1.438243e-04,INTEGRATION
65536,2,5369630,7472718,242656,56043,1.438243e-04,INTEGRATION
65536,3,5340923,7453921,288695,63006,1.438243e-04,INTEGRATION
65536,4,5515169,7439464,203337,56781,1.438243e-04,INTEGRATION
65536,5,5301952,7427550,242659,67184,1.438243e-04,INTEGRATION
131072,1,8479623,13867040,485232,246687,2.868573e-04,INTEGRATION
131072,2,9185224,12504135,202597,62515,2.868573e-04,INTEGRATION
131072,3,8414826,12864492,575511,222683,2.868573e-04,INTEGRATION
131072,4,9075766,12517232,613682,197366,2.868573e-04,INTEGRATION
131072,5,8465032,12893280,562236,235540,2.868573e-04,INTEGRATION
262144,1,14514306,22704123,232838,176056,5.171587e-04,INTEGRATION
262144,2,14423158,22677555,281005,181065,5.171587e-04,INTEGRATION
262144,3,14585380,23234966,716645,251258,5.171587e-04,INTEGRATION
262144,4,14619138,22641416,256265,149442,5.171587e-04,INTEGRATION
262144,5,14494633,22642553,383559,106516,5.171587e-04,INTEGRATION
