size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,6956319,6510780,12288,6553,5.378415e-05,INTEGRATION
1024,2,6979123,7692707,11468,6553,5.378415e-05,INTEGRATION
1024,3,7758646,8068615,12288,7372,5.378415e-05,INTEGRATION
1024,4,7801073,8014692,11468,7372,5.378415e-05,INTEGRATION
1024,5,7959123,7630396,12288,6553,5.378415e-05,INTEGRATION
2048,1,10264811,7953519,22118,12288,4.200360e-05,INTEGRATION
2048,2,8037415,8360815,22118,12288,4.200360e-05,INTEGRATION
2048,3,8338965,8094492,22118,12288,4.200360e-05,INTEGRATION
2048,4,7898615,8636465,22118,12288,4.200360e-05,INTEGRATION
2048,5,8346846,8074826,22118,12288,4.200360e-05,INTEGRATION
4096,1,9723692,8578980,42598,22937,5.222771e-05,INTEGRATION
4096,2,8439042,8583011,42598,22937,5.222771e-05,INTEGRATION
4096,3,8379907,8973880,42598,22937,5.222771e-05,INTEGRATION
4096,4,8416557,8732876,42598,22937,5.222771e-05,INTEGRATION
4096,5,8530426,8640738,42598,22937,5.222771e-05,INTEGRATION
8192,1,11296873,11366150,85196,43417,8.674685e-05,INTEGRATION
8192,2,11003350,11284015,85196,43417,8.674685e-05,INTEGRATION
8192,3,11025938,11451665,85196,43417,8.674685e-05,INTEGRATION
8192,4,11033373,11374138,85196,43417,8.674685e-05,INTEGRATION
8192,5,11228050,11377923,85196,43417,8.674685e-05,INTEGRATION
16384,1,16346430,17046365,182681,104857,1.448884e-04,INTEGRATION
16384,2,16260692,16922261,182681,104857,1.448884e-04,INTEGRATION
16384,3,16269003,16991996,182681,104857,1.448884e-04,INTEGRATION
16384,4,16361419,16940280,182681,104857,1.448884e-04,INTEGRATION
16384,5,16276000,16893419,182681,104857,1.448884e-04,INTEGRATION
32768,1,27921434,28022203,40755,188416,2.754914e-04,INTEGRATION
32768,2,27856380,27944738,35046,188416,2.754914e-04,INTEGRATION
32768,3,27585323,27840042,35865,188416,2.754914e-04,INTEGRATION
32768,4,27996569,27901584,35865,188416,2.754914e-04,INTEGRATION
32768,5,27488842,27862046,35865,188416,2.754914e-04,INTEGRATION
65536,1,48569800,54009830,334668,49588,5.264102e-04,INTEGRATION
65536,2,49282661,50742480,38117,48768,5.264102e-04,INTEGRATION
65536,3,48305688,52548596,334668,48768,5.264102e-04,INTEGRATION
65536,4,48462896,52117092,334668,48768,5.264102e-04,INTEGRATION
65536,5,49425784,50442907,37298,49588,5.264102e-04,INTEGRATION
131072,1,90908811,97741353,355174,96282,1.084685e-03,INTEGRATION
131072,2,91466600,98946119,355182,96282,1.084685e-03,INTEGRATION
131072,3,91345050,98706523,355174,96282,1.084685e-03,INTEGRATION
131072,4,91347615,101261250,355174,96282,1.084685e-03,INTEGRATION
131072,5,90963011,99977157,355174,96289,1.084685e-03,INTEGRATION
262144,1,176022057,188472657,411704,189670,2.045394e-03,INTEGRATION
262144,2,177088523,186302234,411703,189670,2.045394e-03,INTEGRATION
262144,3,177641184,186006996,411703,189670,2.045394e-03,INTEGRATION
262144,4,178702442,182442665,319130,189670,2.045394e-03,INTEGRATION
262144,5,177056246,188008142,411710,189670,2.045394e-03,INTEGRATION
