size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,11696915,14083853,16384,18022,5.328710e-05,INTEGRATION
1024,2,12926177,15335007,16384,18022,5.328710e-05,INTEGRATION
1024,3,13494492,16175130,16384,16384,5.328710e-05,INTEGRATION
1024,4,13745269,16160177,16384,18022,5.328710e-05,INTEGRATION
1024,5,13744284,17403715,16384,18022,5.328710e-05,INTEGRATION
2048,1,12054738,12812823,26214,21299,4.023663e-05,INTEGRATION
2048,2,12023507,15011376,26214,22937,4.023663e-05,INTEGRATION
2048,3,13183930,15407446,26214,22937,4.023663e-05,INTEGRATION
2048,4,13385992,15995592,26214,24576,4.023663e-05,INTEGRATION
2048,5,13752553,17117384,26214,22937,4.023663e-05,INTEGRATION
4096,1,11964061,13362430,45875,34406,4.180347e-05,INTEGRATION
4096,2,12452269,15495207,45875,34406,4.180347e-05,INTEGRATION
4096,3,13261507,16594346,45875,34406,4.180347e-05,INTEGRATION
4096,4,13332400,15540984,45875,34406,4.180347e-05,INTEGRATION
4096,5,13220869,15168153,45875,32768,4.180347e-05,INTEGRATION
8192,1,12084615,15019530,88473,54067,4.042013e-05,INTEGRATION
8192,2,13308976,18515076,88473,54067,4.042013e-05,INTEGRATION
8192,3,14264830,18142277,88473,54067,4.042013e-05,INTEGRATION
8192,4,14227130,17117538,88473,54067,4.042013e-05,INTEGRATION
8192,5,14634061,18214976,88473,54067,4.042013e-05,INTEGRATION
16384,1,14783977,15305969,186777,115507,4.338448e-05,INTEGRATION
16384,2,13839807,18128546,186777,115507,4.338448e-05,INTEGRATION
16384,3,13605661,16364792,186777,115507,4.338448e-05,INTEGRATION
16384,4,14026030,16786838,186777,115507,4.338448e-05,INTEGRATION
16384,5,13693869,16005015,186777,115507,4.338448e-05,INTEGRATION
32768,1,15709376,16509507,342425,197427,4.516784e-05,INTEGRATION
32768,2,14454053,17989515,344064,197427,4.516784e-05,INTEGRATION
32768,3,14381169,18870707,342425,197427,4.516784e-05,INTEGRATION
32768,4,14381823,18467453,342425,197427,4.516784e-05,INTEGRATION
32768,5,15032423,18739177,344064,197427,4.516784e-05,INTEGRATION
65536,1,15455692,25612830,663552,361267,7.014794e-05,INTEGRATION
65536,2,16187807,24934892,663552,361267,7.014794e-05,INTEGRATION
65536,3,15484523,27444269,661913,361267,7.014794e-05,INTEGRATION
65536,4,15685838,29164176,663552,361267,7.014794e-05,INTEGRATION
65536,5,16061592,26585423,663552,361267,7.014794e-05,INTEGRATION
131072,1,21338892,34124007,662472,692224,9.606011e-05,INTEGRATION
131072,2,22431600,30437292,662549,67721,9.606011e-05,INTEGRATION
131072,3,19803976,30596561,746456,692224,9.606011e-05,INTEGRATION
131072,4,21081438,33808769,662472,67721,9.606011e-05,INTEGRATION
131072,5,20037292,30431592,746442,67723,9.606011e-05,INTEGRATION
262144,1,32524246,37541915,970900,780416,1.546011e-04,INTEGRATION
262144,2,30882361,36892992,892257,778778,1.546011e-04,INTEGRATION
262144,3,31669823,37050953,902498,780416,1.546011e-04,INTEGRATION
262144,4,30308684,36917015,974171,778856,1.546011e-04,INTEGRATION
262144,5,32532884,36230561,1151125,777140,1.546011e-04,INTEGRATION
